Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2021-09-12,Jacksonville,Houston,1,Away,-3.5,45.5,-175.0,-16.0,-19.5,58.0,12.5,21,37,0
2021-09-12,Houston,Jacksonville,1,Home,3.5,45.5,155.0,16.0,19.5,58.0,12.5,37,21,1
2021-09-12,Pittsburgh,Buffalo,1,Away,6.5,47.5,232.0,7.0,13.5,39.0,-8.5,23,16,1
2021-09-12,Buffalo,Pittsburgh,1,Home,-6.5,47.5,-267.0,-7.0,-13.5,39.0,-8.5,16,23,0
2021-09-12,NY Jets,Carolina,1,Away,3.5,44.5,162.0,-5.0,-1.5,33.0,-11.5,14,19,0
2021-09-12,Carolina,NY Jets,1,Home,-3.5,44.5,-182.0,5.0,1.5,33.0,-11.5,19,14,1
2021-09-12,Arizona,Tennessee,1,Away,3.0,54.0,131.0,25.0,28.0,51.0,-3.0,38,13,1
2021-09-12,Tennessee,Arizona,1,Home,-3.0,54.0,-146.0,-25.0,-28.0,51.0,-3.0,13,38,0
2021-09-12,LA Chargers,Washington,1,Away,2.0,45.5,110.0,4.0,6.0,36.0,-9.5,20,16,1
2021-09-12,Washington,LA Chargers,1,Home,-2.0,45.5,-130.0,-4.0,-6.0,36.0,-9.5,16,20,0
2021-09-12,Minnesota,Cincinnati,1,Away,-3.0,47.5,-155.0,-3.0,-6.0,51.0,3.5,24,27,0
2021-09-12,Cincinnati,Minnesota,1,Home,3.0,47.5,135.0,3.0,6.0,51.0,3.5,27,24,1
2021-09-12,San Francisco,Detroit,1,Away,-9.5,46.0,-415.0,8.0,-1.5,74.0,28.0,41,33,1
2021-09-12,Detroit,San Francisco,1,Home,9.5,46.0,344.0,-8.0,1.5,74.0,28.0,33,41,0
2021-09-12,Philadelphia,Atlanta,1,Away,3.5,48.5,152.0,26.0,29.5,38.0,-10.5,32,6,1
2021-09-12,Atlanta,Philadelphia,1,Home,-3.5,48.5,-183.0,-26.0,-29.5,38.0,-10.5,6,32,0
2021-09-12,Seattle,Indianapolis,1,Away,-3.0,49.0,-146.0,12.0,9.0,44.0,-5.0,28,16,1
2021-09-12,Indianapolis,Seattle,1,Home,3.0,49.0,132.0,-12.0,-9.0,44.0,-5.0,16,28,0
2021-09-12,Denver,NY Giants,1,Away,-3.0,41.5,-143.0,14.0,11.0,40.0,-1.5,27,13,1
2021-09-12,NY Giants,Denver,1,Home,3.0,41.5,123.0,-14.0,-11.0,40.0,-1.5,13,27,0
2021-09-12,Green Bay,New Orleans,1,Neutral,-3.5,49.0,-190.0,-35.0,-38.5,41.0,-8.0,3,38,0
2021-09-12,New Orleans,Green Bay,1,Neutral,3.5,49.0,165.0,35.0,38.5,41.0,-8.0,38,3,1
2021-09-12,Miami,New England,1,Away,3.5,43.0,154.0,1.0,4.5,33.0,-10.0,17,16,1
2021-09-12,New England,Miami,1,Home,-3.5,43.0,-171.0,-1.0,-4.5,33.0,-10.0,16,17,0
2021-09-12,Cleveland,Kansas City,1,Away,5.5,55.0,205.0,-4.0,1.5,62.0,7.0,29,33,0
2021-09-12,Kansas City,Cleveland,1,Home,-5.5,55.0,-233.0,4.0,-1.5,62.0,7.0,33,29,1
2021-09-09,Dallas,Tampa Bay,1,Away,9.5,52.5,354.0,-2.0,7.5,60.0,7.5,29,31,0
2021-09-09,Tampa Bay,Dallas,1,Home,-9.5,52.5,-455.0,2.0,-7.5,60.0,7.5,31,29,1
2021-09-12,Chicago,LA Rams,1,Away,9.5,46.0,325.0,-20.0,-10.5,48.0,2.0,14,34,0
2021-09-12,LA Rams,Chicago,1,Home,-9.5,46.0,-400.0,20.0,10.5,48.0,2.0,34,14,1
2021-09-13,Baltimore,Las Vegas,1,Away,-3.0,50.5,-165.0,-6.0,-9.0,60.0,9.5,27,33,0
2021-09-13,Las Vegas,Baltimore,1,Home,3.0,50.5,145.0,6.0,9.0,60.0,9.5,33,27,1
2021-09-16,NY Giants,Washington,2,Away,4.0,41.0,168.0,-1.0,3.0,59.0,18.0,29,30,0
2021-09-16,Washington,NY Giants,2,Home,-4.0,41.0,-188.0,1.0,-3.0,59.0,18.0,30,29,1
2021-09-19,Denver,Jacksonville,2,Away,-6.0,45.0,-260.0,10.0,4.0,36.0,-9.0,23,13,1
2021-09-19,Jacksonville,Denver,2,Home,6.0,45.0,220.0,-10.0,-4.0,36.0,-9.0,13,23,0
2021-09-19,Buffalo,Miami,2,Away,-3.5,48.0,-190.0,35.0,31.5,35.0,-13.0,35,0,1
2021-09-19,Miami,Buffalo,2,Home,3.5,48.0,160.0,-35.0,-31.5,35.0,-13.0,0,35,0
2021-09-19,San Francisco,Philadelphia,2,Away,-3.0,49.0,-144.0,6.0,3.0,28.0,-21.0,17,11,1
2021-09-19,Philadelphia,San Francisco,2,Home,3.0,49.0,130.0,-6.0,-3.0,28.0,-21.0,11,17,0
2021-09-19,LA Rams,Indianapolis,2,Away,-4.0,47.5,-205.0,3.0,-1.0,51.0,3.5,27,24,1
2021-09-19,Indianapolis,LA Rams,2,Home,4.0,47.5,182.0,-3.0,1.0,51.0,3.5,24,27,0
