Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2023-09-07,Detroit,Kansas City,1,Away,4.0,53.0,175.0,1.0,5.0,41.0,-12.0,21,20,1
2023-09-07,Kansas City,Detroit,1,Home,-4.0,53.0,-210.0,-1.0,-5.0,41.0,-12.0,20,21,0
2023-09-10,Carolina,Atlanta,1,Away,3.5,40.5,167.0,-14.0,-10.5,34.0,-6.5,10,24,0
2023-09-10,Atlanta,Carolina,1,Home,-3.5,40.5,-192.0,14.0,10.5,34.0,-6.5,24,10,1
2023-09-10,Houston,Baltimore,1,Away,9.5,43.5,360.0,-16.0,-6.5,34.0,-9.5,9,25,0
2023-09-10,Baltimore,Houston,1,Home,-9.5,43.5,-450.0,16.0,6.5,34.0,-9.5,25,9,1
2023-09-10,Cincinnati,Cleveland,1,Away,0.0,46.5,-110.0,-21.0,-21.0,27.0,-19.5,3,24,0
2023-09-10,Cleveland,Cincinnati,1,Home,0.0,46.5,-110.0,21.0,21.0,27.0,-19.5,24,3,1
2023-09-10,Jacksonville,Indianapolis,1,Away,-3.5,45.5,-195.0,10.0,6.5,52.0,6.5,31,21,1
2023-09-10,Indianapolis,Jacksonville,1,Home,3.5,45.5,165.0,-10.0,-6.5,52.0,6.5,21,31,0
2023-09-10,Tampa Bay,Minnesota,1,Away,4.0,45.0,177.0,3.0,7.0,37.0,-8.0,20,17,1
2023-09-10,Minnesota,Tampa Bay,1,Home,-4.0,45.0,-210.0,-3.0,-7.0,37.0,-8.0,17,20,0
2023-09-10,Tennessee,New Orleans,1,Away,3.0,41.5,130.0,-1.0,2.0,31.0,-10.5,15,16,0
2023-09-10,New Orleans,Tennessee,1,Home,-3.0,41.5,-150.0,1.0,-2.0,31.0,-10.5,16,15,1
2023-09-10,San Francisco,Pittsburgh,1,Away,-1.0,41.5,-120.0,23.0,22.0,37.0,-4.5,30,7,1
2023-09-10,Pittsburgh,San Francisco,1,Home,1.0,41.5,100.0,-23.0,-22.0,37.0,-4.5,7,30,0
2023-09-10,Arizona,Washington,1,Away,7.0,38.0,265.0,-4.0,3.0,36.0,-2.0,16,20,0
2023-09-10,Washington,Arizona,1,Home,-7.0,38.0,-315.0,4.0,-3.0,36.0,-2.0,20,16,1
2023-09-10,Green Bay,Chicago,1,Away,1.0,41.0,100.0,18.0,19.0,58.0,17.0,38,20,1
2023-09-10,Chicago,Green Bay,1,Home,-1.0,41.0,-120.0,-18.0,-19.0,58.0,17.0,20,38,0
2023-09-10,Las Vegas,Denver,1,Away,3.0,43.5,142.0,1.0,4.0,33.0,-10.5,17,16,1
2023-09-10,Denver,Las Vegas,1,Home,-3.0,43.5,-162.0,-1.0,-4.0,33.0,-10.5,16,17,0
2023-09-10,Miami,LA Chargers,1,Away,3.0,50.0,143.0,2.0,5.0,70.0,20.0,36,34,1
2023-09-10,LA Chargers,Miami,1,Home,-3.0,50.0,-159.0,-2.0,-5.0,70.0,20.0,34,36,0
2023-09-10,Philadelphia,New England,1,Away,-3.5,44.0,-190.0,5.0,1.5,45.0,1.0,25,20,1
2023-09-10,New England,Philadelphia,1,Home,3.5,44.0,165.0,-5.0,-1.5,45.0,1.0,20,25,0
2023-09-10,LA Rams,Seattle,1,Away,4.5,44.0,180.0,17.0,21.5,43.0,-1.0,30,13,1
2023-09-10,Seattle,LA Rams,1,Home,-4.5,44.0,-215.0,-17.0,-21.5,43.0,-1.0,13,30,0
2023-09-10,Dallas,NY Giants,1,Away,-3.0,44.5,-172.0,40.0,37.0,40.0,-4.5,40,0,1
2023-09-10,NY Giants,Dallas,1,Home,3.0,44.5,152.0,-40.0,-37.0,40.0,-4.5,0,40,0
2023-09-11,Buffalo,NY Jets,1,Away,-2.5,44.5,-140.0,-6.0,-8.5,38.0,-6.5,16,22,0
2023-09-11,NY Jets,Buffalo,1,Home,2.5,44.5,120.0,6.0,8.5,38.0,-6.5,22,16,1
2023-09-14,Minnesota,Philadelphia,2,Away,6.0,49.0,220.0,-6.0,0.0,62.0,13.0,28,34,0
2023-09-14,Philadelphia,Minnesota,2,Home,-6.0,49.0,-252.0,6.0,0.0,62.0,13.0,34,28,1
2023-09-17,Green Bay,Atlanta,2,Away,3.0,40.5,135.0,-1.0,2.0,49.0,8.5,24,25,0
2023-09-17,Atlanta,Green Bay,2,Home,-3.0,40.5,-155.0,1.0,-2.0,49.0,8.5,25,24,1
2023-09-17,Las Vegas,Buffalo,2,Away,7.5,47.5,290.0,-28.0,-20.5,48.0,0.5,10,38,0
2023-09-17,Buffalo,Las Vegas,2,Home,-7.5,47.5,-360.0,28.0,20.5,48.0,0.5,38,10,1
2023-09-17,Baltimore,Cincinnati,2,Away,3.0,45.5,145.0,3.0,6.0,51.0,5.5,27,24,1
2023-09-17,Cincinnati,Baltimore,2,Home,-3.0,45.5,-165.0,-3.0,-6.0,51.0,5.5,24,27,0
2023-09-17,Seattle,Detroit,2,Away,4.5,47.0,188.0,6.0,10.5,68.0,21.0,37,31,1
2023-09-17,Detroit,Seattle,2,Home,-4.5,47.0,-215.0,-6.0,-10.5,68.0,21.0,31,37,0
2023-09-17,Indianapolis,Houston,2,Away,1.0,40.0,100.0,11.0,12.0,51.0,11.0,31,20,1
2023-09-17,Houston,Indianapolis,2,Home,-1.0,40.0,-120.0,-11.0,-12.0,51.0,11.0,20,31,0
2023-09-17,Kansas City,Jacksonville,2,Away,-3.0,50.5,-170.0,8.0,5.0,26.0,-24.5,17,9,1
2023-09-17,Jacksonville,Kansas City,2,Home,3.0,50.5,145.0,-8.0,-5.0,26.0,-24.5,9,17,0
2023-09-17,Chicago,Tampa Bay,2,Away,2.5,40.5,115.0,-10.0,-7.5,44.0,3.5,17,27,0
2023-09-17,Tampa Bay,Chicago,2,Home,-2.5,40.5,-128.0,10.0,7.5,44.0,3.5,27,17,1
2023-09-17,LA Chargers,Tennessee,2,Away,-2.5,45.5,-145.0,-3.0,-5.5,51.0,5.5,24,27,0
2023-09-17,Tennessee,LA Chargers,2,Home,2.5,45.5,125.0,3.0,5.5,51.0,5.5,27,24,1
2023-09-17,NY Giants,Arizona,2,Away,-5.0,40.0,-235.0,3.0,-2.0,59.0,19.0,31,28,1
2023-09-17,Arizona,NY Giants,2,Home,5.0,40.0,190.0,-3.0,2.0,59.0,19.0,28,31,0
2023-09-17,San Francisco,LA Rams,2,Away,-7.5,45.0,-360.0,7.0,-0.5,53.0,8.0,30,23,1
2023-09-17,LA Rams,San Francisco,2,Home,7.5,45.0,280.0,-7.0,0.5,53.0,8.0,23,30,0
