Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2016-09-08,Carolina,Denver,1,Away,-3.0,40.5,-155.0,-1.0,-4.0,41.0,0.5,20,21,0
2016-09-08,Denver,Carolina,1,Home,3.0,40.5,135.0,1.0,4.0,41.0,0.5,21,20,1
2016-09-11,Tampa Bay,Atlanta,1,Away,2.5,46.5,120.0,7.0,9.5,55.0,8.5,31,24,1
2016-09-11,Atlanta,Tampa Bay,1,Home,-2.5,46.5,-140.0,-7.0,-9.5,55.0,8.5,24,31,0
2016-09-11,Buffalo,Baltimore,1,Away,3.0,44.5,135.0,-6.0,-3.0,20.0,-24.5,7,13,0
2016-09-11,Baltimore,Buffalo,1,Home,-3.0,44.5,-155.0,6.0,3.0,20.0,-24.5,13,7,1
2016-09-11,Chicago,Houston,1,Away,6.0,42.5,220.0,-9.0,-3.0,37.0,-5.5,14,23,0
2016-09-11,Houston,Chicago,1,Home,-6.0,42.5,-260.0,9.0,3.0,37.0,-5.5,23,14,1
2016-09-11,Green Bay,Jacksonville,1,Away,-3.5,47.0,-180.0,4.0,0.5,50.0,3.0,27,23,1
2016-09-11,Jacksonville,Green Bay,1,Home,3.5,47.0,160.0,-4.0,-0.5,50.0,3.0,23,27,0
2016-09-11,San Diego,Kansas City,1,Away,6.5,45.5,250.0,-6.0,0.5,60.0,14.5,27,33,0
2016-09-11,Kansas City,San Diego,1,Home,-6.5,45.5,-300.0,6.0,-0.5,60.0,14.5,33,27,1
2016-09-11,Oakland,New Orleans,1,Away,3.0,50.5,125.0,1.0,4.0,69.0,18.5,35,34,1
2016-09-11,New Orleans,Oakland,1,Home,-3.0,50.5,-145.0,-1.0,-4.0,69.0,18.5,34,35,0
2016-09-11,Cincinnati,NY Jets,1,Away,-1.0,42.0,-115.0,1.0,0.0,45.0,3.0,23,22,1
2016-09-11,NY Jets,Cincinnati,1,Home,1.0,42.0,-105.0,-1.0,0.0,45.0,3.0,22,23,0
2016-09-11,Cleveland,Philadelphia,1,Away,4.0,41.5,170.0,-19.0,-15.0,39.0,-2.5,10,29,0
2016-09-11,Philadelphia,Cleveland,1,Home,-4.0,41.5,-200.0,19.0,15.0,39.0,-2.5,29,10,1
2016-09-11,Minnesota,Tennessee,1,Away,-2.5,40.5,-137.0,9.0,6.5,41.0,0.5,25,16,1
2016-09-11,Tennessee,Minnesota,1,Home,2.5,40.5,124.0,-9.0,-6.5,41.0,0.5,16,25,0
2016-09-11,Miami,Seattle,1,Away,10.5,43.5,405.0,-2.0,8.5,22.0,-21.5,10,12,0
2016-09-11,Seattle,Miami,1,Home,-10.5,43.5,-500.0,2.0,-8.5,22.0,-21.5,12,10,1
2016-09-11,NY Giants,Dallas,1,Away,-1.0,48.0,-115.0,1.0,0.0,39.0,-9.0,20,19,1
2016-09-11,Dallas,NY Giants,1,Home,1.0,48.0,-105.0,-1.0,0.0,39.0,-9.0,19,20,0
2016-09-11,Detroit,Indianapolis,1,Away,2.5,51.0,122.0,4.0,6.5,74.0,23.0,39,35,1
2016-09-11,Indianapolis,Detroit,1,Home,-2.5,51.0,-135.0,-4.0,-6.5,74.0,23.0,35,39,0
2016-09-11,New England,Arizona,1,Away,9.0,44.5,336.0,2.0,11.0,44.0,-0.5,23,21,1
2016-09-11,Arizona,New England,1,Home,-9.0,44.5,-388.0,-2.0,-11.0,44.0,-0.5,21,23,0
2016-09-12,Pittsburgh,Washington,1,Away,-2.5,49.0,-140.0,22.0,19.5,54.0,5.0,38,16,1
2016-09-12,Washington,Pittsburgh,1,Home,2.5,49.0,120.0,-22.0,-19.5,54.0,5.0,16,38,0
2016-09-12,Los Angeles,San Francisco,1,Away,-2.5,43.0,-145.0,-28.0,-30.5,28.0,-15.0,0,28,0
2016-09-12,San Francisco,Los Angeles,1,Home,2.5,43.0,125.0,28.0,30.5,28.0,-15.0,28,0,1
2016-09-15,NY Jets,Buffalo,2,Away,1.0,40.5,100.0,6.0,7.0,68.0,27.5,37,31,1
2016-09-15,Buffalo,NY Jets,2,Home,-1.0,40.5,-120.0,-6.0,-7.0,68.0,27.5,31,37,0
2016-09-18,San Francisco,Carolina,2,Away,12.0,44.5,487.0,-19.0,-7.0,73.0,28.5,27,46,0
2016-09-18,Carolina,San Francisco,2,Home,-12.0,44.5,-637.0,19.0,7.0,73.0,28.5,46,27,1
2016-09-18,Baltimore,Cleveland,2,Away,-4.5,42.0,-209.0,5.0,0.5,45.0,3.0,25,20,1
2016-09-18,Cleveland,Baltimore,2,Home,4.5,42.0,179.0,-5.0,-0.5,45.0,3.0,20,25,0
2016-09-18,Tennessee,Detroit,2,Away,6.0,48.0,225.0,1.0,7.0,31.0,-17.0,16,15,1
2016-09-18,Detroit,Tennessee,2,Home,-6.0,48.0,-265.0,-1.0,-7.0,31.0,-17.0,15,16,0
2016-09-18,Kansas City,Houston,2,Away,1.0,42.0,102.0,-7.0,-6.0,31.0,-11.0,12,19,0
2016-09-18,Houston,Kansas City,2,Home,-1.0,42.0,-113.0,7.0,6.0,31.0,-11.0,19,12,1
2016-09-18,Miami,New England,2,Away,6.0,42.0,205.0,-7.0,-1.0,55.0,13.0,24,31,0
2016-09-18,New England,Miami,2,Home,-6.0,42.0,-245.0,7.0,1.0,55.0,13.0,31,24,1
2016-09-18,New Orleans,NY Giants,2,Away,3.5,54.0,165.0,-3.0,0.5,29.0,-25.0,13,16,0
2016-09-18,NY Giants,New Orleans,2,Home,-3.5,54.0,-190.0,3.0,-0.5,29.0,-25.0,16,13,1
2016-09-18,Cincinnati,Pittsburgh,2,Away,3.0,48.0,145.0,-8.0,-5.0,40.0,-8.0,16,24,0
2016-09-18,Pittsburgh,Cincinnati,2,Home,-3.0,48.0,-165.0,8.0,5.0,40.0,-8.0,24,16,1
2016-09-18,Dallas,Washington,2,Away,3.5,47.0,160.0,4.0,7.5,50.0,3.0,27,23,1
2016-09-18,Washington,Dallas,2,Home,-3.5,47.0,-180.0,-4.0,-7.5,50.0,3.0,23,27,0
2016-09-18,Tampa Bay,Arizona,2,Away,7.0,49.5,275.0,-33.0,-26.0,47.0,-2.5,7,40,0
2016-09-18,Arizona,Tampa Bay,2,Home,-7.0,49.5,-355.0,33.0,26.0,47.0,-2.5,40,7,1
2016-09-18,Seattle,Los Angeles,2,Away,-5.5,38.0,-235.0,-6.0,-11.5,12.0,-26.0,3,9,0
2016-09-18,Los Angeles,Seattle,2,Home,5.5,38.0,210.0,6.0,11.5,12.0,-26.0,9,3,1
2016-09-18,Indianapolis,Denver,2,Away,6.0,47.0,225.0,-14.0,-8.0,54.0,7.0,20,34,0
2016-09-18,Denver,Indianapolis,2,Home,-6.0,47.0,-275.0,14.0,8.0,54.0,7.0,34,20,1
