Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2006-09-07,Miami,Pittsburgh,1,Away,1.0,34.0,,-11.0,-10.0,45.0,11.0,17,28,0
2006-09-10,New Orleans,Cleveland,1,Away,3.0,36.0,,5.0,8.0,33.0,-3.0,19,14,1
2006-09-10,Seattle,Detroit,1,Away,-6.0,44.0,,3.0,-3.0,15.0,-29.0,9,6,1
2006-09-10,Chicago,Green Bay,1,Away,-3.5,34.5,,26.0,22.5,26.0,-8.5,26,0,1
2006-09-10,NY Jets,Tennessee,1,Away,2.5,35.5,,7.0,9.5,39.0,3.5,23,16,1
2006-09-10,Cincinnati,Kansas City,1,Away,1.0,48.5,,13.0,14.0,33.0,-15.5,23,10,1
2006-09-10,Denver,St Louis,1,Away,-3.5,45.5,,-8.0,-11.5,28.0,-17.5,10,18,0
2006-09-10,Buffalo,New England,1,Away,10.0,41.0,,-2.0,8.0,36.0,-5.0,17,19,0
2006-09-10,Indianapolis,NY Giants,1,Away,-3.0,47.5,,5.0,2.0,47.0,-0.5,26,21,1
2006-09-10,San Francisco,Arizona,1,Away,9.5,43.0,,-7.0,2.5,61.0,18.0,27,34,0
2006-09-10,Baltimore,Tampa Bay,1,Away,3.0,33.0,,27.0,30.0,27.0,-6.0,27,0,1
2006-09-10,Atlanta,Carolina,1,Away,4.5,38.5,,14.0,18.5,26.0,-12.5,20,6,1
2006-09-10,Dallas,Jacksonville,1,Away,-2.0,37.0,,-7.0,-9.0,41.0,4.0,17,24,0
2006-09-10,Philadelphia,Houston,1,Away,-6.0,37.5,,14.0,8.0,34.0,-3.5,24,10,1
2006-09-11,San Diego,Oakland,1,Away,-3.0,41.5,,27.0,24.0,27.0,-14.5,27,0,1
2006-09-11,Minnesota,Washington,1,Away,4.0,36.0,,3.0,7.0,35.0,-1.0,19,16,1
2006-09-07,Pittsburgh,Miami,1,Home,-1.0,34.0,,11.0,10.0,45.0,11.0,28,17,1
2006-09-10,Cleveland,New Orleans,1,Home,-3.0,36.0,,-5.0,-8.0,33.0,-3.0,14,19,0
2006-09-10,Detroit,Seattle,1,Home,6.0,44.0,,-3.0,3.0,15.0,-29.0,6,9,0
2006-09-10,Green Bay,Chicago,1,Home,3.5,34.5,,-26.0,-22.5,26.0,-8.5,0,26,0
2006-09-10,Tennessee,NY Jets,1,Home,-2.5,35.5,,-7.0,-9.5,39.0,3.5,16,23,0
2006-09-10,Kansas City,Cincinnati,1,Home,-1.0,48.5,,-13.0,-14.0,33.0,-15.5,10,23,0
2006-09-10,St Louis,Denver,1,Home,3.5,45.5,,8.0,11.5,28.0,-17.5,18,10,1
2006-09-10,New England,Buffalo,1,Home,-10.0,41.0,,2.0,-8.0,36.0,-5.0,19,17,1
2006-09-10,NY Giants,Indianapolis,1,Home,3.0,47.5,,-5.0,-2.0,47.0,-0.5,21,26,0
2006-09-10,Arizona,San Francisco,1,Home,-9.5,43.0,,7.0,-2.5,61.0,18.0,34,27,1
2006-09-10,Tampa Bay,Baltimore,1,Home,-3.0,33.0,,-27.0,-30.0,27.0,-6.0,0,27,0
2006-09-10,Carolina,Atlanta,1,Home,-4.5,38.5,,-14.0,-18.5,26.0,-12.5,6,20,0
2006-09-10,Jacksonville,Dallas,1,Home,2.0,37.0,,7.0,9.0,41.0,4.0,24,17,1
2006-09-10,Houston,Philadelphia,1,Home,6.0,37.5,,-14.0,-8.0,34.0,-3.5,10,24,0
2006-09-11,Oakland,San Diego,1,Home,3.0,41.5,,-27.0,-24.0,27.0,-14.5,0,27,0
2006-09-11,Washington,Minnesota,1,Home,-4.0,36.0,,-3.0,-7.0,35.0,-1.0,16,19,0
2006-09-17,Tampa Bay,Atlanta,2,Away,4.5,35.0,,-11.0,-6.5,17.0,-18.0,3,14,0
2006-09-17,Detroit,Chicago,2,Away,7.0,32.0,,-27.0,-20.0,41.0,9.0,7,34,0
2006-09-17,Cleveland,Cincinnati,2,Away,10.0,40.5,,-17.0,-7.0,51.0,10.5,17,34,0
2006-09-17,Washington,Dallas,2,Away,7.0,37.0,,-17.0,-10.0,37.0,0.0,10,27,0
2006-09-17,Kansas City,Denver,2,Away,10.5,38.0,,-3.0,7.5,15.0,-23.0,6,9,0
2006-09-17,New Orleans,Green Bay,2,Away,-1.0,40.0,,7.0,6.0,61.0,21.0,34,27,1
2006-09-17,Houston,Indianapolis,2,Away,11.5,47.5,,-19.0,-7.5,67.0,19.5,24,43,0
2006-09-17,Buffalo,Miami,2,Away,6.5,37.0,,10.0,16.5,22.0,-15.0,16,6,1
2006-09-17,Carolina,Minnesota,2,Away,2.0,36.5,,-3.0,-1.0,29.0,-7.5,13,16,0
2006-09-17,New England,NY Jets,2,Away,-6.0,38.0,,7.0,1.0,41.0,3.0,24,17,1
2006-09-17,NY Giants,Philadelphia,2,Away,2.5,42.0,,6.0,8.5,54.0,12.0,30,24,1
2006-09-17,Tennessee,San Diego,2,Away,10.5,38.0,,-33.0,-22.5,47.0,9.0,7,40,0
2006-09-17,St Louis,San Francisco,2,Away,-3.0,43.5,,-7.0,-10.0,33.0,-10.5,13,20,0
2006-09-17,Arizona,Seattle,2,Away,7.0,47.0,,-11.0,-4.0,31.0,-16.0,10,21,0
