Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2007-09-06,New Orleans,Indianapolis,1,Away,5.5,52.5,,-31.0,-25.5,51.0,-1.5,10,41,0
2007-09-09,Philadelphia,Green Bay,1,Away,-3.0,41.5,,-3.0,-6.0,29.0,-12.5,13,16,0
2007-09-09,Kansas City,Houston,1,Away,3.0,37.5,,-17.0,-14.0,23.0,-14.5,3,20,0
2007-09-09,Denver,Buffalo,1,Away,-3.0,37.5,,1.0,-2.0,29.0,-8.5,15,14,1
2007-09-09,Pittsburgh,Cleveland,1,Away,-4.5,36.5,,27.0,22.5,41.0,4.5,34,7,1
2007-09-09,Carolina,St Louis,1,Away,1.5,43.0,,14.0,15.5,40.0,-3.0,27,13,1
2007-09-09,Atlanta,Minnesota,1,Away,3.0,34.5,,-21.0,-18.0,27.0,-7.5,3,24,0
2007-09-09,New England,NY Jets,1,Away,-6.0,41.5,,24.0,18.0,52.0,10.5,38,14,1
2007-09-09,Miami,Washington,1,Away,3.0,34.0,,-3.0,0.0,29.0,-5.0,13,16,0
2007-09-09,Tennessee,Jacksonville,1,Away,7.5,39.5,,3.0,10.5,23.0,-16.5,13,10,1
2007-09-09,Chicago,San Diego,1,Away,7.0,43.0,,-11.0,-4.0,17.0,-26.0,3,14,0
2007-09-09,Tampa Bay,Seattle,1,Away,6.0,40.5,,-14.0,-8.0,26.0,-14.5,6,20,0
2007-09-09,Detroit,Oakland,1,Away,3.0,39.5,,15.0,18.0,57.0,17.5,36,21,1
2007-09-09,NY Giants,Dallas,1,Away,6.5,44.0,,-10.0,-3.5,80.0,36.0,35,45,0
2007-09-10,Baltimore,Cincinnati,1,Away,2.5,39.5,,-7.0,-4.5,47.0,7.5,20,27,0
2007-09-10,Arizona,San Francisco,1,Away,3.5,47.0,,-3.0,0.5,37.0,-10.0,17,20,0
2007-09-10,San Francisco,Arizona,1,Home,-3.5,47.0,,3.0,-0.5,37.0,-10.0,20,17,1
2007-09-10,Cincinnati,Baltimore,1,Home,-2.5,39.5,,7.0,4.5,47.0,7.5,27,20,1
2007-09-09,Dallas,NY Giants,1,Home,-6.5,44.0,,10.0,3.5,80.0,36.0,45,35,1
2007-09-09,Oakland,Detroit,1,Home,-3.0,39.5,,-15.0,-18.0,57.0,17.5,21,36,0
2007-09-09,Seattle,Tampa Bay,1,Home,-6.0,40.5,,14.0,8.0,26.0,-14.5,20,6,1
2007-09-09,San Diego,Chicago,1,Home,-7.0,43.0,,11.0,4.0,17.0,-26.0,14,3,1
2007-09-09,Jacksonville,Tennessee,1,Home,-7.5,39.5,,-3.0,-10.5,23.0,-16.5,10,13,0
2007-09-09,Washington,Miami,1,Home,-3.0,34.0,,3.0,0.0,29.0,-5.0,16,13,1
2007-09-09,NY Jets,New England,1,Home,6.0,41.5,,-24.0,-18.0,52.0,10.5,14,38,0
2007-09-09,Minnesota,Atlanta,1,Home,-3.0,34.5,,21.0,18.0,27.0,-7.5,24,3,1
2007-09-09,St Louis,Carolina,1,Home,-1.5,43.0,,-14.0,-15.5,40.0,-3.0,13,27,0
2007-09-09,Cleveland,Pittsburgh,1,Home,4.5,36.5,,-27.0,-22.5,41.0,4.5,7,34,0
2007-09-09,Buffalo,Denver,1,Home,3.0,37.5,,-1.0,2.0,29.0,-8.5,14,15,0
2007-09-09,Houston,Kansas City,1,Home,-3.0,37.5,,17.0,14.0,23.0,-14.5,20,3,1
2007-09-09,Green Bay,Philadelphia,1,Home,3.0,41.5,,3.0,6.0,29.0,-12.5,16,13,1
2007-09-06,Indianapolis,New Orleans,1,Home,-5.5,52.5,,31.0,25.5,51.0,-1.5,41,10,1
2007-09-16,Buffalo,Pittsburgh,2,Away,10.0,39.5,,-23.0,-13.0,29.0,-10.5,3,26,0
2007-09-16,Houston,Carolina,2,Away,6.5,38.0,,13.0,19.5,55.0,17.0,34,21,1
2007-09-16,Atlanta,Jacksonville,2,Away,10.0,34.5,,-6.0,4.0,20.0,-14.5,7,13,0
2007-09-16,New Orleans,Tampa Bay,2,Away,-5.0,41.5,,-17.0,-22.0,45.0,3.5,14,31,0
2007-09-16,Green Bay,NY Giants,2,Away,1.0,40.0,,22.0,23.0,48.0,8.0,35,13,1
2007-09-16,San Francisco,St Louis,2,Away,3.0,44.0,,1.0,4.0,33.0,-11.0,17,16,1
2007-09-16,Cincinnati,Cleveland,2,Away,-7.0,41.5,,-6.0,-13.0,96.0,54.5,45,51,0
2007-09-16,Indianapolis,Tennessee,2,Away,-7.0,45.5,,2.0,-5.0,42.0,-3.5,22,20,1
2007-09-16,Minnesota,Detroit,2,Away,3.0,42.5,,-3.0,0.0,37.0,-5.5,17,20,0
2007-09-16,Dallas,Miami,2,Away,-3.5,39.5,,17.0,13.5,57.0,17.5,37,20,1
2007-09-16,Seattle,Arizona,2,Away,-3.0,42.5,,-3.0,-6.0,43.0,0.5,20,23,0
2007-09-16,NY Jets,Baltimore,2,Away,9.5,33.0,,-7.0,2.5,33.0,0.0,13,20,0
2007-09-16,Oakland,Denver,2,Away,10.0,37.0,,-3.0,7.0,43.0,6.0,20,23,0
2007-09-16,Kansas City,Chicago,2,Away,11.5,35.0,,-10.0,1.5,30.0,-5.0,10,20,0
2007-09-16,San Diego,New England,2,Away,3.5,46.0,,-24.0,-20.5,52.0,6.0,14,38,0
2007-09-17,Washington,Philadelphia,2,Away,6.5,39.0,,8.0,14.5,32.0,-7.0,20,12,1
2007-09-17,Philadelphia,Washington,2,Home,-6.5,39.0,,-8.0,-14.5,32.0,-7.0,12,20,0
2007-09-16,New England,San Diego,2,Home,-3.5,46.0,,24.0,20.5,52.0,6.0,38,14,1
2007-09-16,Chicago,Kansas City,2,Home,-11.5,35.0,,10.0,-1.5,30.0,-5.0,20,10,1
2007-09-16,Denver,Oakland,2,Home,-10.0,37.0,,3.0,-7.0,43.0,6.0,23,20,1
2007-09-16,Baltimore,NY Jets,2,Home,-9.5,33.0,,7.0,-2.5,33.0,0.0,20,13,1
2007-09-16,Arizona,Seattle,2,Home,3.0,42.5,,3.0,6.0,43.0,0.5,23,20,1
2007-09-16,Miami,Dallas,2,Home,3.5,39.5,,-17.0,-13.5,57.0,17.5,20,37,0
2007-09-16,Detroit,Minnesota,2,Home,-3.0,42.5,,3.0,0.0,37.0,-5.5,20,17,1
2007-09-16,Tennessee,Indianapolis,2,Home,7.0,45.5,,-2.0,5.0,42.0,-3.5,20,22,0
2007-09-16,Cleveland,Cincinnati,2,Home,7.0,41.5,,6.0,13.0,96.0,54.5,51,45,1
2007-09-16,St Louis,San Francisco,2,Home,-3.0,44.0,,-1.0,-4.0,33.0,-11.0,16,17,0
2007-09-16,NY Giants,Green Bay,2,Home,-1.0,40.0,,-22.0,-23.0,48.0,8.0,13,35,0
2007-09-16,Tampa Bay,New Orleans,2,Home,5.0,41.5,,17.0,22.0,45.0,3.5,31,14,1
2007-09-16,Jacksonville,Atlanta,2,Home,-10.0,34.5,,6.0,-4.0,20.0,-14.5,13,7,1
2007-09-16,Carolina,Houston,2,Home,-6.5,38.0,,-13.0,-19.5,55.0,17.0,21,34,0
2007-09-16,Pittsburgh,Buffalo,2,Home,-10.0,39.5,,23.0,13.0,29.0,-10.5,26,3,1
2007-09-23,Detroit,Philadelphia,3,Away,5.0,44.5,,-35.0,-30.0,77.0,32.5,21,56,0
2007-09-23,Miami,NY Jets,3,Away,3.0,36.5,,-3.0,0.0,59.0,22.5,28,31,0
2007-09-23,Buffalo,New England,3,Away,16.5,41.0,,-31.0,-14.5,45.0,4.0,7,38,0
2007-09-23,Arizona,Baltimore,3,Away,7.0,35.5,,-3.0,4.0,49.0,13.5,23,26,0
2007-09-23,St Louis,Tampa Bay,3,Away,3.5,38.5,,-21.0,-17.5,27.0,-11.5,3,24,0
2007-09-23,San Francisco,Pittsburgh,3,Away,10.0,37.5,,-21.0,-11.0,53.0,15.5,16,37,0
2007-09-23,Indianapolis,Houston,3,Away,-6.5,46.0,,6.0,-0.5,54.0,8.0,30,24,1
2007-09-23,San Diego,Green Bay,3,Away,-5.5,42.5,,-7.0,-12.5,55.0,12.5,24,31,0
2007-09-23,Minnesota,Kansas City,3,Away,3.0,34.0,,-3.0,0.0,23.0,-11.0,10,13,0
2007-09-23,Cleveland,Oakland,3,Away,3.0,41.5,,-2.0,1.0,50.0,8.5,24,26,0
2007-09-23,Jacksonville,Denver,3,Away,3.5,36.0,,9.0,12.5,37.0,1.0,23,14,1
2007-09-23,Cincinnati,Seattle,3,Away,3.5,49.5,,-3.0,0.5,45.0,-4.5,21,24,0
2007-09-23,NY Giants,Washington,3,Away,3.5,41.5,,7.0,10.5,41.0,-0.5,24,17,1
2007-09-23,Carolina,Atlanta,3,Away,-4.0,38.0,,7.0,3.0,47.0,9.0,27,20,1
2007-09-23,Dallas,Chicago,3,Away,3.0,41.0,,24.0,27.0,44.0,3.0,34,10,1
2007-09-24,Tennessee,New Orleans,3,Away,4.5,46.0,,17.0,21.5,45.0,-1.0,31,14,1
2007-09-24,New Orleans,Tennessee,3,Home,-4.5,46.0,,-17.0,-21.5,45.0,-1.0,14,31,0
2007-09-23,Chicago,Dallas,3,Home,-3.0,41.0,,-24.0,-27.0,44.0,3.0,10,34,0
2007-09-23,Atlanta,Carolina,3,Home,4.0,38.0,,-7.0,-3.0,47.0,9.0,20,27,0
2007-09-23,Washington,NY Giants,3,Home,-3.5,41.5,,-7.0,-10.5,41.0,-0.5,17,24,0
2007-09-23,Seattle,Cincinnati,3,Home,-3.5,49.5,,3.0,-0.5,45.0,-4.5,24,21,1
2007-09-23,Denver,Jacksonville,3,Home,-3.5,36.0,,-9.0,-12.5,37.0,1.0,14,23,0
2007-09-23,Oakland,Cleveland,3,Home,-3.0,41.5,,2.0,-1.0,50.0,8.5,26,24,1
2007-09-23,Kansas City,Minnesota,3,Home,-3.0,34.0,,3.0,0.0,23.0,-11.0,13,10,1
2007-09-23,Green Bay,San Diego,3,Home,5.5,42.5,,7.0,12.5,55.0,12.5,31,24,1
2007-09-23,Houston,Indianapolis,3,Home,6.5,46.0,,-6.0,0.5,54.0,8.0,24,30,0
2007-09-23,Pittsburgh,San Francisco,3,Home,-10.0,37.5,,21.0,11.0,53.0,15.5,37,16,1
2007-09-23,Tampa Bay,St Louis,3,Home,-3.5,38.5,,21.0,17.5,27.0,-11.5,24,3,1
2007-09-23,Baltimore,Arizona,3,Home,-7.0,35.5,,3.0,-4.0,49.0,13.5,26,23,1
2007-09-23,New England,Buffalo,3,Home,-16.5,41.0,,31.0,14.5,45.0,4.0,38,7,1
2007-09-23,NY Jets,Miami,3,Home,-3.0,36.5,,3.0,0.0,59.0,22.5,31,28,1
2007-09-23,Philadelphia,Detroit,3,Home,-5.0,44.5,,35.0,30.0,77.0,32.5,56,21,1
2007-09-30,Green Bay,Minnesota,4,Away,-1.0,37.5,,7.0,6.0,39.0,1.5,23,16,1
2007-09-30,Oakland,Miami,4,Away,3.5,40.0,,18.0,21.5,52.0,12.0,35,17,1
2007-09-30,NY Jets,Buffalo,4,Away,-3.5,37.5,,-3.0,-6.5,31.0,-6.5,14,17,0
2007-09-30,Houston,Atlanta,4,Away,-2.5,39.0,,-10.0,-12.5,42.0,3.0,16,26,0
2007-09-30,Chicago,Detroit,4,Away,-2.5,46.0,,-10.0,-12.5,64.0,18.0,27,37,0
2007-09-30,Baltimore,Cleveland,4,Away,-3.5,40.0,,-14.0,-17.5,40.0,0.0,13,27,0
2007-09-30,St Louis,Dallas,4,Away,13.0,47.0,,-28.0,-15.0,42.0,-5.0,7,35,0
2007-09-30,Tampa Bay,Carolina,4,Away,3.0,39.0,,13.0,16.0,27.0,-12.0,20,7,1
2007-09-30,Seattle,San Francisco,4,Away,-1.0,40.5,,20.0,19.0,26.0,-14.5,23,3,1
2007-09-30,Kansas City,San Diego,4,Away,12.0,38.5,,14.0,26.0,46.0,7.5,30,16,1
2007-09-30,Pittsburgh,Arizona,4,Away,-5.5,42.5,,-7.0,-12.5,35.0,-7.5,14,21,0
2007-09-30,Denver,Indianapolis,4,Away,10.0,46.0,,-18.0,-8.0,58.0,12.0,20,38,0
2007-09-30,Philadelphia,NY Giants,4,Away,-2.0,47.5,,-13.0,-15.0,19.0,-28.5,3,16,0
2007-10-01,New England,Cincinnati,4,Away,-7.5,54.0,,21.0,13.5,47.0,-7.0,34,13,1
2007-10-01,Cincinnati,New England,4,Home,7.5,54.0,,-21.0,-13.5,47.0,-7.0,13,34,0
2007-09-30,NY Giants,Philadelphia,4,Home,2.0,47.5,,13.0,15.0,19.0,-28.5,16,3,1
2007-09-30,Indianapolis,Denver,4,Home,-10.0,46.0,,18.0,8.0,58.0,12.0,38,20,1
2007-09-30,Arizona,Pittsburgh,4,Home,5.5,42.5,,7.0,12.5,35.0,-7.5,21,14,1
2007-09-30,San Diego,Kansas City,4,Home,-12.0,38.5,,-14.0,-26.0,46.0,7.5,16,30,0
2007-09-30,San Francisco,Seattle,4,Home,1.0,40.5,,-20.0,-19.0,26.0,-14.5,3,23,0
2007-09-30,Carolina,Tampa Bay,4,Home,-3.0,39.0,,-13.0,-16.0,27.0,-12.0,7,20,0
2007-09-30,Dallas,St Louis,4,Home,-13.0,47.0,,28.0,15.0,42.0,-5.0,35,7,1
2007-09-30,Cleveland,Baltimore,4,Home,3.5,40.0,,14.0,17.5,40.0,0.0,27,13,1
2007-09-30,Detroit,Chicago,4,Home,2.5,46.0,,10.0,12.5,64.0,18.0,37,27,1
2007-09-30,Atlanta,Houston,4,Home,2.5,39.0,,10.0,12.5,42.0,3.0,26,16,1
2007-09-30,Buffalo,NY Jets,4,Home,3.5,37.5,,3.0,6.5,31.0,-6.5,17,14,1
2007-09-30,Miami,Oakland,4,Home,-3.5,40.0,,-18.0,-21.5,52.0,12.0,17,35,0
2007-09-30,Minnesota,Green Bay,4,Home,1.0,37.5,,-7.0,-6.0,39.0,1.5,16,23,0
2007-10-07,Miami,Houston,5,Away,4.5,43.5,,-3.0,1.5,41.0,-2.5,19,22,0
2007-10-07,Atlanta,Tennessee,5,Away,9.0,41.0,,-7.0,2.0,33.0,-8.0,13,20,0
2007-10-07,Jacksonville,Kansas City,5,Away,-1.0,36.0,,10.0,9.0,24.0,-12.0,17,7,1
2007-10-07,NY Jets,NY Giants,5,Away,3.5,40.5,,-11.0,-7.5,59.0,18.5,24,35,0
2007-10-07,Carolina,New Orleans,5,Away,3.5,43.0,,3.0,6.5,29.0,-14.0,16,13,1
2007-10-07,Arizona,St Louis,5,Away,-3.5,40.0,,3.0,-0.5,65.0,25.0,34,31,1
2007-10-07,Cleveland,New England,5,Away,15.5,48.0,,-17.0,-1.5,51.0,3.0,17,34,0
2007-10-07,Seattle,Pittsburgh,5,Away,5.5,41.0,,-21.0,-15.5,21.0,-20.0,0,21,0
2007-10-07,Detroit,Washington,5,Away,4.0,44.5,,-31.0,-27.0,37.0,-7.5,3,34,0
2007-10-07,Tampa Bay,Indianapolis,5,Away,9.0,44.5,,-19.0,-10.0,47.0,2.5,14,33,0
2007-10-07,San Diego,Denver,5,Away,-1.0,43.0,,38.0,37.0,44.0,1.0,41,3,1
