Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2004-09-09,Indianapolis,New England,1,Away,3.5,44.5,,-3.0,0.5,51.0,6.5,24,27,0
2004-09-11,Tennessee,Miami,1,Away,-3.0,38.0,,10.0,7.0,24.0,-14.0,17,7,1
2004-09-12,Jacksonville,Buffalo,1,Away,3.0,35.0,,3.0,6.0,23.0,-12.0,13,10,1
2004-09-12,Detroit,Chicago,1,Away,3.0,38.5,,4.0,7.0,36.0,-2.5,20,16,1
2004-09-12,Baltimore,Cleveland,1,Away,-3.0,37.0,,-17.0,-20.0,23.0,-14.0,3,20,0
2004-09-12,Kansas City,Denver,1,Away,3.0,48.5,,-10.0,-7.0,58.0,9.5,24,34,0
2004-09-12,Arizona,St Louis,1,Away,10.5,46.0,,-7.0,3.5,27.0,-19.0,10,17,0
2004-09-12,Dallas,Minnesota,1,Away,4.5,44.0,,-18.0,-13.5,52.0,8.0,17,35,0
2004-09-12,Seattle,New Orleans,1,Away,-1.5,45.0,,14.0,12.5,28.0,-17.0,21,7,1
2004-09-12,Cincinnati,NY Jets,1,Away,4.0,41.5,,-7.0,-3.0,55.0,13.5,24,31,0
2004-09-12,NY Giants,Philadelphia,1,Away,8.5,41.0,,-14.0,-5.5,48.0,7.0,17,31,0
2004-09-12,Oakland,Pittsburgh,1,Away,4.0,41.0,,-3.0,1.0,45.0,4.0,21,24,0
2004-09-12,Atlanta,San Francisco,1,Away,-3.5,44.5,,2.0,-1.5,40.0,-4.5,21,19,1
2004-09-12,Tampa Bay,Washington,1,Away,2.5,38.0,,-6.0,-3.5,26.0,-12.0,10,16,0
2004-09-12,San Diego,Houston,1,Away,4.5,44.0,,7.0,11.5,47.0,3.0,27,20,1
2004-09-13,Green Bay,Carolina,1,Away,3.0,43.0,,10.0,13.0,38.0,-5.0,24,14,1
2004-09-09,New England,Indianapolis,1,Home,-3.5,44.5,,3.0,-0.5,51.0,6.5,27,24,1
2004-09-11,Miami,Tennessee,1,Home,3.0,38.0,,-10.0,-7.0,24.0,-14.0,7,17,0
2004-09-12,Buffalo,Jacksonville,1,Home,-3.0,35.0,,-3.0,-6.0,23.0,-12.0,10,13,0
2004-09-12,Chicago,Detroit,1,Home,-3.0,38.5,,-4.0,-7.0,36.0,-2.5,16,20,0
2004-09-12,Cleveland,Baltimore,1,Home,3.0,37.0,,17.0,20.0,23.0,-14.0,20,3,1
2004-09-12,Denver,Kansas City,1,Home,-3.0,48.5,,10.0,7.0,58.0,9.5,34,24,1
2004-09-12,St Louis,Arizona,1,Home,-10.5,46.0,,7.0,-3.5,27.0,-19.0,17,10,1
2004-09-12,Minnesota,Dallas,1,Home,-4.5,44.0,,18.0,13.5,52.0,8.0,35,17,1
2004-09-12,New Orleans,Seattle,1,Home,1.5,45.0,,-14.0,-12.5,28.0,-17.0,7,21,0
2004-09-12,NY Jets,Cincinnati,1,Home,-4.0,41.5,,7.0,3.0,55.0,13.5,31,24,1
2004-09-12,Philadelphia,NY Giants,1,Home,-8.5,41.0,,14.0,5.5,48.0,7.0,31,17,1
