Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2012-09-05,Dallas,NY Giants,1,Away,3.5,45.5,165.0,7.0,10.5,41.0,-4.5,24,17,1
2012-09-05,NY Giants,Dallas,1,Home,-3.5,45.5,-190.0,-7.0,-10.5,41.0,-4.5,17,24,0
2012-09-09,Indianapolis,Chicago,1,Away,9.5,42.0,385.0,-20.0,-10.5,62.0,20.0,21,41,0
2012-09-09,Chicago,Indianapolis,1,Home,-9.5,42.0,-470.0,20.0,10.5,62.0,20.0,41,21,1
2012-09-09,Jacksonville,Minnesota,1,Away,3.5,38.0,170.0,-3.0,0.5,49.0,11.0,23,26,0
2012-09-09,Minnesota,Jacksonville,1,Home,-3.5,38.0,-195.0,3.0,-0.5,49.0,11.0,26,23,1
2012-09-09,Buffalo,NY Jets,1,Away,3.0,39.5,130.0,-20.0,-17.0,76.0,36.5,28,48,0
2012-09-09,NY Jets,Buffalo,1,Home,-3.0,39.5,-144.0,20.0,17.0,76.0,36.5,48,28,1
2012-09-09,Miami,Houston,1,Away,13.0,41.5,600.0,-20.0,-7.0,40.0,-1.5,10,30,0
2012-09-09,Houston,Miami,1,Home,-13.0,41.5,-780.0,20.0,7.0,40.0,-1.5,30,10,1
2012-09-09,New England,Tennessee,1,Away,-5.0,48.0,-224.0,21.0,16.0,47.0,-1.0,34,13,1
2012-09-09,Tennessee,New England,1,Home,5.0,48.0,200.0,-21.0,-16.0,47.0,-1.0,13,34,0
2012-09-09,St Louis,Detroit,1,Away,9.0,46.0,338.0,-4.0,5.0,50.0,4.0,23,27,0
2012-09-09,Detroit,St Louis,1,Home,-9.0,46.0,-391.0,4.0,-5.0,50.0,4.0,27,23,1
2012-09-09,Washington,New Orleans,1,Away,8.0,50.0,334.0,8.0,16.0,72.0,22.0,40,32,1
2012-09-09,New Orleans,Washington,1,Home,-8.0,50.0,-385.0,-8.0,-16.0,72.0,22.0,32,40,0
2012-09-09,Philadelphia,Cleveland,1,Away,-9.0,42.5,-410.0,1.0,-8.0,33.0,-9.5,17,16,1
2012-09-09,Cleveland,Philadelphia,1,Home,9.0,42.5,354.0,-1.0,8.0,33.0,-9.5,16,17,0
2012-09-09,Atlanta,Kansas City,1,Away,-2.5,43.0,-140.0,16.0,13.5,64.0,21.0,40,24,1
2012-09-09,Kansas City,Atlanta,1,Home,2.5,43.0,120.0,-16.0,-13.5,64.0,21.0,24,40,0
2012-09-09,San Francisco,Green Bay,1,Away,6.0,46.5,225.0,8.0,14.0,52.0,5.5,30,22,1
