Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2020-09-10,Houston,Kansas City,1,Away,9.5,53.5,350.0,-14.0,-4.5,54.0,0.5,20,34,0
2020-09-10,Kansas City,Houston,1,Home,-9.5,53.5,-430.0,14.0,4.5,54.0,0.5,34,20,1
2020-09-13,Seattle,Atlanta,1,Away,1.0,49.5,-101.0,13.0,14.0,63.0,13.5,38,25,1
2020-09-13,Atlanta,Seattle,1,Home,-1.0,49.5,-119.0,-13.0,-14.0,63.0,13.5,25,38,0
2020-09-13,Philadelphia,Washington,1,Away,-5.5,41.5,-223.0,-10.0,-15.5,44.0,2.5,17,27,0
2020-09-13,Washington,Philadelphia,1,Home,5.5,41.5,196.0,10.0,15.5,44.0,2.5,27,17,1
2020-09-13,NY Jets,Buffalo,1,Away,6.5,39.0,242.0,-10.0,-3.5,44.0,5.0,17,27,0
2020-09-13,Buffalo,NY Jets,1,Home,-6.5,39.0,-279.0,10.0,3.5,44.0,5.0,27,17,1
2020-09-13,Green Bay,Minnesota,1,Away,1.0,44.5,105.0,9.0,10.0,77.0,32.5,43,34,1
2020-09-13,Minnesota,Green Bay,1,Home,-1.0,44.5,-125.0,-9.0,-10.0,77.0,32.5,34,43,0
2020-09-13,Indianapolis,Jacksonville,1,Away,-7.0,44.0,-305.0,-7.0,-14.0,47.0,3.0,20,27,0
2020-09-13,Jacksonville,Indianapolis,1,Home,7.0,44.0,262.0,7.0,14.0,47.0,3.0,27,20,1
2020-09-13,Chicago,Detroit,1,Away,2.5,42.5,110.0,4.0,6.5,50.0,7.5,27,23,1
2020-09-13,Detroit,Chicago,1,Home,-2.5,42.5,-130.0,-4.0,-6.5,50.0,7.5,23,27,0
2020-09-13,Cleveland,Baltimore,1,Away,7.0,47.5,265.0,-32.0,-25.0,44.0,-3.5,6,38,0
2020-09-13,Baltimore,Cleveland,1,Home,-7.0,47.5,-315.0,32.0,25.0,44.0,-3.5,38,6,1
2020-09-13,Las Vegas,Carolina,1,Away,-3.0,48.0,-146.0,4.0,1.0,64.0,16.0,34,30,1
2020-09-13,Carolina,Las Vegas,1,Home,3.0,48.0,132.0,-4.0,-1.0,64.0,16.0,30,34,0
2020-09-13,Miami,New England,1,Away,7.5,41.5,274.0,-10.0,-2.5,32.0,-9.5,11,21,0
2020-09-13,New England,Miami,1,Home,-7.5,41.5,-340.0,10.0,2.5,32.0,-9.5,21,11,1
2020-09-13,LA Chargers,Cincinnati,1,Away,-3.0,41.5,-140.0,3.0,0.0,29.0,-12.5,16,13,1
2020-09-13,Cincinnati,LA Chargers,1,Home,3.0,41.5,120.0,-3.0,0.0,29.0,-12.5,13,16,0
2020-09-13,Tampa Bay,New Orleans,1,Away,4.0,48.5,176.0,-11.0,-7.0,57.0,8.5,23,34,0
2020-09-13,New Orleans,Tampa Bay,1,Home,-4.0,48.5,-197.0,11.0,7.0,57.0,8.5,34,23,1
2020-09-13,Arizona,San Francisco,1,Away,7.0,48.5,244.0,4.0,11.0,44.0,-4.5,24,20,1
2020-09-13,San Francisco,Arizona,1,Home,-7.0,48.5,-296.0,-4.0,-11.0,44.0,-4.5,20,24,0
2020-09-13,Dallas,LA Rams,1,Away,0.0,52.0,-109.0,-3.0,-3.0,37.0,-15.0,17,20,0
2020-09-13,LA Rams,Dallas,1,Home,0.0,52.0,-110.0,3.0,3.0,37.0,-15.0,20,17,1
2020-09-14,Pittsburgh,NY Giants,1,Away,-6.0,44.0,-250.0,10.0,4.0,42.0,-2.0,26,16,1
2020-09-14,NY Giants,Pittsburgh,1,Home,6.0,44.0,219.0,-10.0,-4.0,42.0,-2.0,16,26,0
2020-09-14,Tennessee,Denver,1,Away,-3.0,41.5,-180.0,2.0,-1.0,30.0,-11.5,16,14,1
2020-09-14,Denver,Tennessee,1,Home,3.0,41.5,160.0,-2.0,1.0,30.0,-11.5,14,16,0
2020-09-17,Cincinnati,Cleveland,2,Away,6.0,44.5,211.0,-5.0,1.0,65.0,20.5,30,35,0
2020-09-17,Cleveland,Cincinnati,2,Home,-6.0,44.5,-241.0,5.0,-1.0,65.0,20.5,35,30,1
2020-09-20,NY Giants,Chicago,2,Away,4.5,42.5,190.0,-4.0,0.5,30.0,-12.5,13,17,0
2020-09-20,Chicago,NY Giants,2,Home,-4.5,42.5,-220.0,4.0,-0.5,30.0,-12.5,17,13,1
2020-09-20,Jacksonville,Tennessee,2,Away,7.0,44.5,275.0,-3.0,4.0,63.0,18.5,30,33,0
2020-09-20,Tennessee,Jacksonville,2,Home,-7.0,44.5,-334.0,3.0,-4.0,63.0,18.5,33,30,1
2020-09-20,Carolina,Tampa Bay,2,Away,7.5,47.0,296.0,-14.0,-6.5,48.0,1.0,17,31,0
2020-09-20,Tampa Bay,Carolina,2,Home,-7.5,47.0,-350.0,14.0,6.5,48.0,1.0,31,17,1
2020-09-20,LA Rams,Philadelphia,2,Away,2.0,46.0,110.0,18.0,20.0,56.0,10.0,37,19,1
2020-09-20,Philadelphia,LA Rams,2,Home,-2.0,46.0,-130.0,-18.0,-20.0,56.0,10.0,19,37,0
2020-09-20,Atlanta,Dallas,2,Away,3.0,54.0,128.0,-1.0,2.0,79.0,25.0,39,40,0
2020-09-20,Dallas,Atlanta,2,Home,-3.0,54.0,-142.0,1.0,-2.0,79.0,25.0,40,39,1
2020-09-20,Detroit,Green Bay,2,Away,7.0,51.0,249.0,-21.0,-14.0,63.0,12.0,21,42,0
2020-09-20,Green Bay,Detroit,2,Home,-7.0,51.0,-288.0,21.0,14.0,63.0,12.0,42,21,1
2020-09-20,Minnesota,Indianapolis,2,Away,3.5,49.0,156.0,-17.0,-13.5,39.0,-10.0,11,28,0
2020-09-20,Indianapolis,Minnesota,2,Home,-3.5,49.0,-176.0,17.0,13.5,39.0,-10.0,28,11,1
2020-09-20,Buffalo,Miami,2,Away,-5.5,42.5,-245.0,3.0,-2.5,59.0,16.5,31,28,1
2020-09-20,Miami,Buffalo,2,Home,5.5,42.5,205.0,-3.0,2.5,59.0,16.5,28,31,0
2020-09-20,San Francisco,NY Jets,2,Away,-7.0,41.5,-325.0,18.0,11.0,44.0,2.5,31,13,1
2020-09-20,NY Jets,San Francisco,2,Home,7.0,41.5,265.0,-18.0,-11.0,44.0,2.5,13,31,0
2020-09-20,Denver,Pittsburgh,2,Away,6.5,41.0,235.0,-5.0,1.5,47.0,6.0,21,26,0
2020-09-20,Pittsburgh,Denver,2,Home,-6.5,41.0,-275.0,5.0,-1.5,47.0,6.0,26,21,1
