Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2008-09-04,Washington,NY Giants,1,Away,4.5,41.0,195.0,-9.0,-4.5,23.0,-18.0,7,16,0
2008-09-04,NY Giants,Washington,1,Home,-4.5,41.0,-215.0,9.0,4.5,23.0,-18.0,16,7,1
2008-09-07,Tampa Bay,New Orleans,1,Away,3.0,43.0,169.0,-4.0,-1.0,44.0,1.0,20,24,0
2008-09-07,New Orleans,Tampa Bay,1,Home,-3.0,43.0,-179.0,4.0,1.0,44.0,1.0,24,20,1
2008-09-07,St Louis,Philadelphia,1,Away,9.5,43.5,345.0,-35.0,-25.5,41.0,-2.5,3,38,0
2008-09-07,Philadelphia,St Louis,1,Home,-9.5,43.5,-375.0,35.0,25.5,41.0,-2.5,38,3,1
2008-09-07,NY Jets,Miami,1,Away,-3.0,37.0,-149.0,6.0,3.0,34.0,-3.0,20,14,1
2008-09-07,Miami,NY Jets,1,Home,3.0,37.0,139.0,-6.0,-3.0,34.0,-3.0,14,20,0
2008-09-07,Kansas City,New England,1,Away,16.0,43.0,1300.0,-7.0,9.0,27.0,-16.0,10,17,0
2008-09-07,New England,Kansas City,1,Home,-16.0,43.0,-1700.0,7.0,-9.0,27.0,-16.0,17,10,1
2008-09-07,Houston,Pittsburgh,1,Away,6.5,43.5,250.0,-21.0,-14.5,55.0,11.5,17,38,0
2008-09-07,Pittsburgh,Houston,1,Home,-6.5,43.5,-270.0,21.0,14.5,55.0,11.5,38,17,1
2008-09-07,Cincinnati,Baltimore,1,Away,-1.0,37.5,-129.0,-7.0,-8.0,27.0,-10.5,10,17,0
2008-09-07,Baltimore,Cincinnati,1,Home,1.0,37.5,119.0,7.0,8.0,27.0,-10.5,17,10,1
2008-09-07,Detroit,Atlanta,1,Away,-3.5,41.0,-180.0,-13.0,-16.5,55.0,14.0,21,34,0
2008-09-07,Atlanta,Detroit,1,Home,3.5,41.0,170.0,13.0,16.5,55.0,14.0,34,21,1
2008-09-07,Seattle,Buffalo,1,Away,1.0,37.5,126.0,-24.0,-23.0,44.0,6.5,10,34,0
2008-09-07,Buffalo,Seattle,1,Home,-1.0,37.5,-136.0,24.0,23.0,44.0,6.5,34,10,1
2008-09-07,Jacksonville,Tennessee,1,Away,-3.0,37.0,-145.0,-7.0,-10.0,27.0,-10.0,10,17,0
2008-09-07,Tennessee,Jacksonville,1,Home,3.0,37.0,135.0,7.0,10.0,27.0,-10.0,17,10,1
2008-09-07,Dallas,Cleveland,1,Away,-6.0,48.0,-260.0,18.0,12.0,38.0,-10.0,28,10,1
2008-09-07,Cleveland,Dallas,1,Home,6.0,48.0,240.0,-18.0,-12.0,38.0,-10.0,10,28,0
2008-09-07,Carolina,San Diego,1,Away,9.5,41.0,360.0,2.0,11.5,50.0,9.0,26,24,1
2008-09-07,San Diego,Carolina,1,Home,-9.5,41.0,-400.0,-2.0,-11.5,50.0,9.0,24,26,0
2008-09-07,Arizona,San Francisco,1,Away,-1.0,42.5,-140.0,10.0,9.0,36.0,-6.5,23,13,1
2008-09-07,San Francisco,Arizona,1,Home,1.0,42.5,130.0,-10.0,-9.0,36.0,-6.5,13,23,0
2008-09-07,Chicago,Indianapolis,1,Away,10.0,43.0,455.0,16.0,26.0,42.0,-1.0,29,13,1
2008-09-07,Indianapolis,Chicago,1,Home,-10.0,43.0,-525.0,-16.0,-26.0,42.0,-1.0,13,29,0
2008-09-08,Minnesota,Green Bay,1,Away,1.0,37.0,114.0,-5.0,-4.0,43.0,6.0,19,24,0
2008-09-08,Green Bay,Minnesota,1,Home,-1.0,37.0,-124.0,5.0,4.0,43.0,6.0,24,19,1
2008-09-08,Denver,Oakland,1,Away,-3.0,40.0,-137.0,27.0,24.0,55.0,15.0,41,14,1
2008-09-08,Oakland,Denver,1,Home,3.0,40.0,127.0,-27.0,-24.0,55.0,15.0,14,41,0
2008-09-14,Oakland,Kansas City,2,Away,3.5,36.0,165.0,15.0,18.5,31.0,-5.0,23,8,1
2008-09-14,Kansas City,Oakland,2,Home,-3.5,36.0,-175.0,-15.0,-18.5,31.0,-5.0,8,23,0
2008-09-14,Green Bay,Detroit,2,Away,-3.0,46.5,-144.0,23.0,20.0,73.0,26.5,48,25,1
2008-09-14,Detroit,Green Bay,2,Home,3.0,46.5,134.0,-23.0,-20.0,73.0,26.5,25,48,0
2008-09-14,Tennessee,Cincinnati,2,Away,-1.0,37.0,-106.0,17.0,16.0,31.0,-6.0,24,7,1
2008-09-14,Cincinnati,Tennessee,2,Home,1.0,37.0,-104.0,-17.0,-16.0,31.0,-6.0,7,24,0
2008-09-14,Chicago,Carolina,2,Away,3.0,37.5,157.0,-3.0,0.0,37.0,-0.5,17,20,0
2008-09-14,Carolina,Chicago,2,Home,-3.0,37.5,-167.0,3.0,0.0,37.0,-0.5,20,17,1
2008-09-14,Buffalo,Jacksonville,2,Away,4.0,37.0,173.0,4.0,8.0,36.0,-1.0,20,16,1
2008-09-14,Jacksonville,Buffalo,2,Home,-4.0,37.0,-183.0,-4.0,-8.0,36.0,-1.0,16,20,0
2008-09-14,New Orleans,Washington,2,Away,1.0,43.0,105.0,-5.0,-4.0,53.0,10.0,24,29,0
2008-09-14,Washington,New Orleans,2,Home,-1.0,43.0,-115.0,5.0,4.0,53.0,10.0,29,24,1
2008-09-14,Indianapolis,Minnesota,2,Away,-1.0,43.0,-102.0,3.0,2.0,33.0,-10.0,18,15,1
2008-09-14,Minnesota,Indianapolis,2,Home,1.0,43.0,-108.0,-3.0,-2.0,33.0,-10.0,15,18,0
2008-09-14,NY Giants,St Louis,2,Away,-9.0,43.5,-335.0,28.0,19.0,54.0,10.5,41,13,1
2008-09-14,St Louis,NY Giants,2,Home,9.0,43.5,305.0,-28.0,-19.0,54.0,10.5,13,41,0
2008-09-14,San Francisco,Seattle,2,Away,6.5,37.5,230.0,3.0,9.5,63.0,25.5,33,30,1
2008-09-14,Seattle,San Francisco,2,Home,-6.5,37.5,-250.0,-3.0,-9.5,63.0,25.5,30,33,0
2008-09-14,Atlanta,Tampa Bay,2,Away,7.0,37.5,270.0,-15.0,-8.0,33.0,-4.5,9,24,0
2008-09-14,Tampa Bay,Atlanta,2,Home,-7.0,37.5,-300.0,15.0,8.0,33.0,-4.5,24,9,1
2008-09-14,Miami,Arizona,2,Away,6.5,40.5,231.0,-21.0,-14.5,41.0,0.5,10,31,0
2008-09-14,Arizona,Miami,2,Home,-6.5,40.5,-251.0,21.0,14.5,41.0,0.5,31,10,1
2008-09-14,New England,NY Jets,2,Away,-1.0,37.0,-107.0,9.0,8.0,29.0,-8.0,19,10,1
2008-09-14,NY Jets,New England,2,Home,1.0,37.0,-103.0,-9.0,-8.0,29.0,-8.0,10,19,0
2008-09-14,San Diego,Denver,2,Away,1.0,46.0,111.0,-1.0,0.0,77.0,31.0,38,39,0
2008-09-14,Denver,San Diego,2,Home,-1.0,46.0,-121.0,1.0,0.0,77.0,31.0,39,38,1
2008-09-14,Pittsburgh,Cleveland,2,Away,-6.0,43.5,-249.0,4.0,-2.0,16.0,-27.5,10,6,1
2008-09-14,Cleveland,Pittsburgh,2,Home,6.0,43.5,229.0,-4.0,2.0,16.0,-27.5,6,10,0
2008-09-15,Philadelphia,Dallas,2,Away,6.5,46.0,251.0,-4.0,2.5,78.0,32.0,37,41,0
2008-09-15,Dallas,Philadelphia,2,Home,-6.5,46.0,-271.0,4.0,-2.5,78.0,32.0,41,37,1
2008-09-21,Kansas City,Atlanta,3,Away,6.5,37.0,232.0,-24.0,-17.5,52.0,15.0,14,38,0
2008-09-21,Atlanta,Kansas City,3,Home,-6.5,37.0,-252.0,24.0,17.5,52.0,15.0,38,14,1
2008-09-21,Arizona,Washington,3,Away,3.0,43.5,160.0,-7.0,-4.0,41.0,-2.5,17,24,0
2008-09-21,Washington,Arizona,3,Home,-3.0,43.5,-170.0,7.0,4.0,41.0,-2.5,24,17,1
2008-09-21,Houston,Tennessee,3,Away,4.5,40.0,190.0,-19.0,-14.5,43.0,3.0,12,31,0
2008-09-21,Tennessee,Houston,3,Home,-4.5,40.0,-210.0,19.0,14.5,43.0,3.0,31,12,1
2008-09-21,Oakland,Buffalo,3,Away,10.0,37.0,415.0,-1.0,9.0,47.0,10.0,23,24,0
2008-09-21,Buffalo,Oakland,3,Home,-10.0,37.0,-475.0,1.0,-9.0,47.0,10.0,24,23,1
2008-09-21,Tampa Bay,Chicago,3,Away,3.0,34.5,148.0,3.0,6.0,51.0,16.5,27,24,1
2008-09-21,Chicago,Tampa Bay,3,Home,-3.0,34.5,-158.0,-3.0,-6.0,51.0,16.5,24,27,0
2008-09-21,Carolina,Minnesota,3,Away,3.5,37.5,168.0,-10.0,-6.5,30.0,-7.5,10,20,0
2008-09-21,Minnesota,Carolina,3,Home,-3.5,37.5,-178.0,10.0,6.5,30.0,-7.5,20,10,1
2008-09-21,Cincinnati,NY Giants,3,Away,13.0,42.0,625.0,-3.0,10.0,49.0,7.0,23,26,0
2008-09-21,NY Giants,Cincinnati,3,Home,-13.0,42.0,-750.0,3.0,-10.0,49.0,7.0,26,23,1
2008-09-21,Miami,New England,3,Away,12.5,37.0,550.0,25.0,37.5,51.0,14.0,38,13,1
2008-09-21,New England,Miami,3,Home,-12.5,37.0,-650.0,-25.0,-37.5,51.0,14.0,13,38,0
2008-09-21,New Orleans,Denver,3,Away,5.0,51.5,200.0,-2.0,3.0,66.0,14.5,32,34,0
2008-09-21,Denver,New Orleans,3,Home,-5.0,51.5,-220.0,2.0,-3.0,66.0,14.5,34,32,1
2008-09-21,Detroit,San Francisco,3,Away,5.0,47.0,186.0,-18.0,-13.0,44.0,-3.0,13,31,0
2008-09-21,San Francisco,Detroit,3,Home,-5.0,47.0,-204.0,18.0,13.0,44.0,-3.0,31,13,1
2008-09-21,St Louis,Seattle,3,Away,9.0,44.5,320.0,-24.0,-15.0,50.0,5.5,13,37,0
2008-09-21,Seattle,St Louis,3,Home,-9.0,44.5,-350.0,24.0,15.0,50.0,5.5,37,13,1
2008-09-21,Cleveland,Baltimore,3,Away,1.0,37.0,130.0,-18.0,-17.0,38.0,1.0,10,28,0
2008-09-21,Baltimore,Cleveland,3,Home,-1.0,37.0,-140.0,18.0,17.0,38.0,1.0,28,10,1
