Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2022-09-08,Buffalo,LA Rams,1,Away,-2.0,51.5,-127.0,21.0,19.0,41.0,-10.5,31,10,1
2022-09-08,LA Rams,Buffalo,1,Home,2.0,51.5,107.0,-21.0,-19.0,41.0,-10.5,10,31,0
2022-09-11,New Orleans,Atlanta,1,Away,-5.5,43.5,-225.0,1.0,-4.5,53.0,9.5,27,26,1
2022-09-11,Atlanta,New Orleans,1,Home,5.5,43.5,195.0,-1.0,4.5,53.0,9.5,26,27,0
2022-09-11,San Francisco,Chicago,1,Away,-6.5,38.5,-230.0,-9.0,-15.5,29.0,-9.5,10,19,0
2022-09-11,Chicago,San Francisco,1,Home,6.5,38.5,202.0,9.0,15.5,29.0,-9.5,19,10,1
2022-09-11,Pittsburgh,Cincinnati,1,Away,7.0,45.0,266.0,3.0,10.0,43.0,-2.0,23,20,1
2022-09-11,Cincinnati,Pittsburgh,1,Home,-7.0,45.0,-310.0,-3.0,-10.0,43.0,-2.0,20,23,0
2022-09-11,Philadelphia,Detroit,1,Away,-6.0,49.0,-250.0,3.0,-3.0,73.0,24.0,38,35,1
2022-09-11,Detroit,Philadelphia,1,Home,6.0,49.0,210.0,-3.0,3.0,73.0,24.0,35,38,0
2022-09-11,New England,Miami,1,Away,3.0,46.5,140.0,-13.0,-10.0,27.0,-19.5,7,20,0
2022-09-11,Miami,New England,1,Home,-3.0,46.5,-160.0,13.0,10.0,27.0,-19.5,20,7,1
2022-09-11,Baltimore,NY Jets,1,Away,-6.5,44.0,-285.0,15.0,8.5,33.0,-11.0,24,9,1
2022-09-11,NY Jets,Baltimore,1,Home,6.5,44.0,240.0,-15.0,-8.5,33.0,-11.0,9,24,0
2022-09-11,Jacksonville,Washington,1,Away,3.0,43.0,137.0,-6.0,-3.0,50.0,7.0,22,28,0
2022-09-11,Washington,Jacksonville,1,Home,-3.0,43.0,-157.0,6.0,3.0,50.0,7.0,28,22,1
2022-09-11,Cleveland,Carolina,1,Away,1.5,42.0,110.0,2.0,3.5,50.0,8.0,26,24,1
2022-09-11,Carolina,Cleveland,1,Home,-1.5,42.0,-121.0,-2.0,-3.5,50.0,8.0,24,26,0
2022-09-11,Indianapolis,Houston,1,Away,-7.0,46.0,-293.0,0.0,-7.0,40.0,-6.0,20,20,0
2022-09-11,Houston,Indianapolis,1,Home,7.0,46.0,253.0,0.0,7.0,40.0,-6.0,20,20,0
2022-09-11,NY Giants,Tennessee,1,Away,5.5,44.0,200.0,1.0,6.5,41.0,-3.0,21,20,1
2022-09-11,Tennessee,NY Giants,1,Home,-5.5,44.0,-240.0,-1.0,-6.5,41.0,-3.0,20,21,0
2022-09-11,Green Bay,Minnesota,1,Away,2.0,46.5,119.0,-16.0,-14.0,30.0,-16.5,7,23,0
2022-09-11,Minnesota,Green Bay,1,Home,-2.0,46.5,-132.0,16.0,14.0,30.0,-16.5,23,7,1
2022-09-11,Kansas City,Arizona,1,Away,-6.0,54.0,-260.0,23.0,17.0,65.0,11.0,44,21,1
2022-09-11,Arizona,Kansas City,1,Home,6.0,54.0,220.0,-23.0,-17.0,65.0,11.0,21,44,0
2022-09-11,Las Vegas,LA Chargers,1,Away,3.5,52.5,163.0,-5.0,-1.5,43.0,-9.5,19,24,0
2022-09-11,LA Chargers,Las Vegas,1,Home,-3.5,52.5,-183.0,5.0,1.5,43.0,-9.5,24,19,1
2022-09-11,Tampa Bay,Dallas,1,Away,-2.5,49.5,-134.0,16.0,13.5,22.0,-27.5,19,3,1
2022-09-11,Dallas,Tampa Bay,1,Home,2.5,49.5,121.0,-16.0,-13.5,22.0,-27.5,3,19,0
2022-09-12,Denver,Seattle,1,Away,-6.0,43.5,-275.0,-1.0,-7.0,33.0,-10.5,16,17,0
2022-09-12,Seattle,Denver,1,Home,6.0,43.5,230.0,1.0,7.0,33.0,-10.5,17,16,1
2022-09-15,LA Chargers,Kansas City,2,Away,4.0,52.5,170.0,-3.0,1.0,51.0,-1.5,24,27,0
2022-09-15,Kansas City,LA Chargers,2,Home,-4.0,52.5,-195.0,3.0,-1.0,51.0,-1.5,27,24,1
2022-09-18,Miami,Baltimore,2,Away,3.0,44.0,151.0,4.0,7.0,80.0,36.0,42,38,1
2022-09-18,Baltimore,Miami,2,Home,-3.0,44.0,-171.0,-4.0,-7.0,80.0,36.0,38,42,0
2022-09-18,NY Jets,Cleveland,2,Away,6.0,38.5,205.0,1.0,7.0,61.0,22.5,31,30,1
2022-09-18,Cleveland,NY Jets,2,Home,-6.0,38.5,-245.0,-1.0,-7.0,61.0,22.5,30,31,0
