Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2009-09-10,Tennessee,Pittsburgh,1,Away,6.5,35.0,243.0,-3.0,3.5,23.0,-12.0,10,13,0
2009-09-13,Miami,Atlanta,1,Away,4.0,44.0,190.0,-12.0,-8.0,26.0,-18.0,7,19,0
2009-09-13,Atlanta,Miami,1,Home,-4.0,44.0,-210.0,12.0,8.0,26.0,-18.0,19,7,1
2009-09-13,Kansas City,Baltimore,1,Away,13.0,36.5,570.0,-14.0,-1.0,62.0,25.5,24,38,0
2009-09-13,Baltimore,Kansas City,1,Home,-13.0,36.5,-700.0,14.0,1.0,62.0,25.5,38,24,1
2009-09-13,Philadelphia,Carolina,1,Away,-1.0,43.5,-127.0,28.0,27.0,48.0,4.5,38,10,1
2009-09-13,Carolina,Philadelphia,1,Home,1.0,43.5,117.0,-28.0,-27.0,48.0,4.5,10,38,0
2009-09-13,Denver,Cincinnati,1,Away,4.5,41.0,196.0,5.0,9.5,19.0,-22.0,12,7,1
2009-09-13,Cincinnati,Denver,1,Home,-4.5,41.0,-222.0,-5.0,-9.5,19.0,-22.0,7,12,0
2009-09-13,Minnesota,Cleveland,1,Away,-4.0,39.5,-215.0,14.0,10.0,54.0,14.5,34,20,1
2009-09-13,Cleveland,Minnesota,1,Home,4.0,39.5,189.0,-14.0,-10.0,54.0,14.5,20,34,0
2009-09-13,NY Jets,Houston,1,Away,4.5,44.5,201.0,17.0,21.5,31.0,-13.5,24,7,1
2009-09-13,Houston,NY Jets,1,Home,-4.5,44.5,-227.0,-17.0,-21.5,31.0,-13.5,7,24,0
2009-09-13,Jacksonville,Indianapolis,1,Away,6.5,45.0,238.0,-2.0,4.5,26.0,-19.0,12,14,0
2009-09-13,Indianapolis,Jacksonville,1,Home,-6.5,45.0,-270.0,2.0,-4.5,26.0,-19.0,14,12,1
2009-09-13,Detroit,New Orleans,1,Away,14.0,50.0,660.0,-18.0,-4.0,72.0,22.0,27,45,0
2009-09-13,New Orleans,Detroit,1,Home,-14.0,50.0,-840.0,18.0,4.0,72.0,22.0,45,27,1
2009-09-13,Dallas,Tampa Bay,1,Away,-4.5,40.0,-230.0,13.0,8.5,55.0,15.0,34,21,1
2009-09-13,Tampa Bay,Dallas,1,Home,4.5,40.0,204.0,-13.0,-8.5,55.0,15.0,21,34,0
2009-09-13,San Francisco,Arizona,1,Away,5.0,45.5,207.0,4.0,9.0,36.0,-9.5,20,16,1
2009-09-13,Arizona,San Francisco,1,Home,-5.0,45.5,-233.0,-4.0,-9.0,36.0,-9.5,16,20,0
2009-09-13,Washington,NY Giants,1,Away,6.0,37.0,220.0,-6.0,0.0,40.0,3.0,17,23,0
2009-09-13,NY Giants,Washington,1,Home,-6.0,37.0,-246.0,6.0,0.0,40.0,3.0,23,17,1
2009-09-13,St Louis,Seattle,1,Away,7.0,41.0,270.0,-28.0,-21.0,28.0,-13.0,0,28,0
2009-09-13,Seattle,St Louis,1,Home,-7.0,41.0,-310.0,28.0,21.0,28.0,-13.0,28,0,1
2009-09-13,Chicago,Green Bay,1,Away,4.5,47.0,198.0,-6.0,-1.5,36.0,-11.0,15,21,0
2009-09-13,Green Bay,Chicago,1,Home,-4.5,47.0,-224.0,6.0,1.5,36.0,-11.0,21,15,1
2009-09-14,Buffalo,New England,1,Away,13.0,47.5,635.0,-1.0,12.0,49.0,1.5,24,25,0
2009-09-14,New England,Buffalo,1,Home,-13.0,47.5,-815.0,1.0,-12.0,49.0,1.5,25,24,1
2009-09-14,San Diego,Oakland,1,Away,-10.0,42.5,-530.0,4.0,-6.0,44.0,1.5,24,20,1
2009-09-14,Oakland,San Diego,1,Home,10.0,42.5,450.0,-4.0,6.0,44.0,1.5,20,24,0
2009-09-10,Pittsburgh,Tennessee,1,Home,-6.5,35.0,-275.0,3.0,-3.5,23.0,-12.0,13,10,1
2009-09-20,Carolina,Atlanta,2,Away,6.0,43.5,204.0,-8.0,-2.0,48.0,4.5,20,28,0
2009-09-20,Atlanta,Carolina,2,Home,-6.0,43.5,-230.0,8.0,2.0,48.0,4.5,28,20,1
2009-09-20,St Louis,Washington,2,Away,10.0,37.0,470.0,-2.0,8.0,16.0,-21.0,7,9,0
2009-09-20,Washington,St Louis,2,Home,-10.0,37.0,-550.0,2.0,-8.0,16.0,-21.0,9,7,1
2009-09-20,Houston,Tennessee,2,Away,7.0,40.5,258.0,3.0,10.0,65.0,24.5,34,31,1
2009-09-20,Tennessee,Houston,2,Home,-7.0,40.5,-298.0,-3.0,-10.0,65.0,24.5,31,34,0
2009-09-20,New Orleans,Philadelphia,2,Away,-2.5,46.0,-147.0,26.0,23.5,70.0,24.0,48,22,1
2009-09-20,Philadelphia,New Orleans,2,Home,2.5,46.0,135.0,-26.0,-23.5,70.0,24.0,22,48,0
2009-09-20,New England,NY Jets,2,Away,-3.5,44.5,-175.0,-7.0,-10.5,25.0,-19.5,9,16,0
2009-09-20,NY Jets,New England,2,Home,3.5,44.5,160.0,7.0,10.5,25.0,-19.5,16,9,1
2009-09-20,Oakland,Kansas City,2,Away,1.0,40.0,110.0,3.0,4.0,23.0,-17.0,13,10,1
2009-09-20,Kansas City,Oakland,2,Home,-1.0,40.0,-120.0,-3.0,-4.0,23.0,-17.0,10,13,0
2009-09-20,Arizona,Jacksonville,2,Away,3.0,44.0,150.0,14.0,17.0,48.0,4.0,31,17,1
2009-09-20,Jacksonville,Arizona,2,Home,-3.0,44.0,-165.0,-14.0,-17.0,48.0,4.0,17,31,0
2009-09-20,Cincinnati,Green Bay,2,Away,9.0,41.5,350.0,7.0,16.0,55.0,13.5,31,24,1
2009-09-20,Green Bay,Cincinnati,2,Home,-9.0,41.5,-400.0,-7.0,-16.0,55.0,13.5,24,31,0
2009-09-20,Minnesota,Detroit,2,Away,-10.0,45.0,-440.0,14.0,4.0,40.0,-5.0,27,13,1
2009-09-20,Detroit,Minnesota,2,Home,10.0,45.0,380.0,-14.0,-4.0,40.0,-5.0,13,27,0
2009-09-20,Tampa Bay,Buffalo,2,Away,4.0,41.5,181.0,-13.0,-9.0,53.0,11.5,20,33,0
2009-09-20,Buffalo,Tampa Bay,2,Home,-4.0,41.5,-201.0,13.0,9.0,53.0,11.5,33,20,1
2009-09-20,Seattle,San Francisco,2,Away,1.0,38.5,101.0,-13.0,-12.0,33.0,-5.5,10,23,0
2009-09-20,San Francisco,Seattle,2,Home,-1.0,38.5,-111.0,13.0,12.0,33.0,-5.5,23,10,1
2009-09-20,Pittsburgh,Chicago,2,Away,-3.0,38.0,-140.0,-3.0,-6.0,31.0,-7.0,14,17,0
