Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2024-09-05,Baltimore,Kansas City,1,Away,2.5,46.5,129.0,-7.0,-4.5,47.0,0.5,20,27,0
2024-09-05,Kansas City,Baltimore,1,Home,-2.5,46.5,-150.0,7.0,4.5,47.0,0.5,27,20,1
2024-09-06,Green Bay,Philadelphia,1,Neutral,1.0,49.5,100.0,-5.0,-4.0,63.0,13.5,29,34,0
2024-09-06,Philadelphia,Green Bay,1,Neutral,-1.0,49.5,-120.0,5.0,4.0,63.0,13.5,34,29,1
2024-09-08,Pittsburgh,Atlanta,1,Away,4.0,42.5,167.0,8.0,12.0,28.0,-14.5,18,10,1
2024-09-08,Atlanta,Pittsburgh,1,Home,-4.0,42.5,-190.0,-8.0,-12.0,28.0,-14.5,10,18,0
2024-09-08,Arizona,Buffalo,1,Away,6.5,45.5,245.0,-6.0,0.5,62.0,16.5,28,34,0
2024-09-08,Buffalo,Arizona,1,Home,-6.5,45.5,-290.0,6.0,-0.5,62.0,16.5,34,28,1
2024-09-08,Tennessee,Chicago,1,Away,4.0,43.0,175.0,-7.0,-3.0,41.0,-2.0,17,24,0
2024-09-08,Chicago,Tennessee,1,Home,-4.0,43.0,-205.0,7.0,3.0,41.0,-2.0,24,17,1
2024-09-08,New England,Cincinnati,1,Away,7.5,41.0,315.0,6.0,13.5,26.0,-15.0,16,10,1
2024-09-08,Cincinnati,New England,1,Home,-7.5,41.0,-410.0,-6.0,-13.5,26.0,-15.0,10,16,0
2024-09-08,Houston,Indianapolis,1,Away,-3.0,48.5,-156.0,2.0,-1.0,56.0,7.5,29,27,1
2024-09-08,Indianapolis,Houston,1,Home,3.0,48.5,139.0,-2.0,1.0,56.0,7.5,27,29,0
2024-09-08,Jacksonville,Miami,1,Away,3.5,49.5,164.0,-3.0,0.5,37.0,-12.5,17,20,0
2024-09-08,Miami,Jacksonville,1,Home,-3.5,49.5,-184.0,3.0,-0.5,37.0,-12.5,20,17,1
2024-09-08,Carolina,New Orleans,1,Away,3.5,41.5,167.0,-37.0,-33.5,57.0,15.5,10,47,0
2024-09-08,New Orleans,Carolina,1,Home,-3.5,41.5,-189.0,37.0,33.5,57.0,15.5,47,10,1
2024-09-08,Minnesota,NY Giants,1,Away,-1.0,42.0,-108.0,22.0,21.0,34.0,-8.0,28,6,1
2024-09-08,NY Giants,Minnesota,1,Home,1.0,42.0,-103.0,-22.0,-21.0,34.0,-8.0,6,28,0
2024-09-08,Las Vegas,LA Chargers,1,Away,3.0,41.0,134.0,-12.0,-9.0,32.0,-9.0,10,22,0
2024-09-08,LA Chargers,Las Vegas,1,Home,-3.0,41.0,-154.0,12.0,9.0,32.0,-9.0,22,10,1
2024-09-08,Denver,Seattle,1,Away,6.5,42.0,250.0,-6.0,0.5,46.0,4.0,20,26,0
2024-09-08,Seattle,Denver,1,Home,-6.5,42.0,-300.0,6.0,-0.5,46.0,4.0,26,20,1
2024-09-08,Dallas,Cleveland,1,Away,2.0,42.0,109.0,16.0,18.0,50.0,8.0,33,17,1
2024-09-08,Cleveland,Dallas,1,Home,-2.0,42.0,-129.0,-16.0,-18.0,50.0,8.0,17,33,0
2024-09-08,Washington,Tampa Bay,1,Away,4.0,42.5,180.0,-17.0,-13.0,57.0,14.5,20,37,0
2024-09-08,Tampa Bay,Washington,1,Home,-4.0,42.5,-205.0,17.0,13.0,57.0,14.5,37,20,1
2024-09-08,LA Rams,Detroit,1,Away,5.0,53.5,202.0,-6.0,-1.0,46.0,-7.5,20,26,0
2024-09-08,Detroit,LA Rams,1,Home,-5.0,53.5,-232.0,6.0,1.0,46.0,-7.5,26,20,1
2024-09-09,NY Jets,San Francisco,1,Away,3.5,43.5,170.0,-13.0,-9.5,51.0,7.5,19,32,0
2024-09-09,San Francisco,NY Jets,1,Home,-3.5,43.5,-195.0,13.0,9.5,51.0,7.5,32,19,1
2024-09-12,Buffalo,Miami,2,Away,2.5,49.5,125.0,21.0,23.5,41.0,-8.5,31,10,1
2024-09-12,Miami,Buffalo,2,Home,-2.5,49.5,-145.0,-21.0,-23.5,41.0,-8.5,10,31,0
2024-09-15,Las Vegas,Baltimore,2,Away,9.0,42.5,380.0,3.0,12.0,49.0,6.5,26,23,1
2024-09-15,Baltimore,Las Vegas,2,Home,-9.0,42.5,-470.0,-3.0,-12.0,49.0,6.5,23,26,0
2024-09-15,LA Chargers,Carolina,2,Away,-4.0,38.5,-210.0,23.0,19.0,29.0,-9.5,26,3,1
2024-09-15,Carolina,LA Chargers,2,Home,4.0,38.5,180.0,-23.0,-19.0,29.0,-9.5,3,26,0
2024-09-15,New Orleans,Dallas,2,Away,6.5,47.0,230.0,25.0,31.5,63.0,16.0,44,19,1
2024-09-15,Dallas,New Orleans,2,Home,-6.5,47.0,-275.0,-25.0,-31.5,63.0,16.0,19,44,0
2024-09-15,Tampa Bay,Detroit,2,Away,7.5,52.0,295.0,4.0,11.5,36.0,-16.0,20,16,1
2024-09-15,Detroit,Tampa Bay,2,Home,-7.5,52.0,-370.0,-4.0,-11.5,36.0,-16.0,16,20,0
2024-09-15,Indianapolis,Green Bay,2,Away,-2.0,41.5,-132.0,-6.0,-8.0,26.0,-15.5,10,16,0
2024-09-15,Green Bay,Indianapolis,2,Home,2.0,41.5,119.0,6.0,8.0,26.0,-15.5,16,10,1
2024-09-15,San Francisco,Minnesota,2,Away,-4.0,46.5,-205.0,-6.0,-10.0,40.0,-6.5,17,23,0
2024-09-15,Minnesota,San Francisco,2,Home,4.0,46.5,175.0,6.0,10.0,40.0,-6.5,23,17,1
2024-09-15,Seattle,New England,2,Away,-3.0,39.5,-159.0,3.0,0.0,43.0,3.5,23,20,1
2024-09-15,New England,Seattle,2,Home,3.0,39.5,143.0,-3.0,0.0,43.0,3.5,20,23,0
2024-09-15,NY Jets,Tennessee,2,Away,-4.0,41.0,-195.0,7.0,3.0,41.0,0.0,24,17,1
2024-09-15,Tennessee,NY Jets,2,Home,4.0,41.0,165.0,-7.0,-3.0,41.0,0.0,17,24,0
2024-09-15,Cleveland,Jacksonville,2,Away,3.0,41.0,145.0,5.0,8.0,31.0,-10.0,18,13,1
2024-09-15,Jacksonville,Cleveland,2,Home,-3.0,41.0,-165.0,-5.0,-8.0,31.0,-10.0,13,18,0
2024-09-15,NY Giants,Washington,2,Away,1.0,43.0,105.0,-3.0,-2.0,39.0,-4.0,18,21,0
2024-09-15,Washington,NY Giants,2,Home,-1.0,43.0,-125.0,3.0,2.0,39.0,-4.0,21,18,1
2024-09-15,LA Rams,Arizona,2,Away,0.0,47.5,-110.0,-31.0,-31.0,51.0,3.5,10,41,0
2024-09-15,Arizona,LA Rams,2,Home,0.0,47.5,-110.0,31.0,31.0,51.0,3.5,41,10,1
2024-09-15,Pittsburgh,Denver,2,Away,-2.5,36.5,-148.0,7.0,4.5,19.0,-17.5,13,6,1
2024-09-15,Denver,Pittsburgh,2,Home,2.5,36.5,128.0,-7.0,-4.5,19.0,-17.5,6,13,0
2024-09-15,Cincinnati,Kansas City,2,Away,6.5,47.5,240.0,-1.0,5.5,51.0,3.5,25,26,0
2024-09-15,Kansas City,Cincinnati,2,Home,-6.5,47.5,-285.0,1.0,-5.5,51.0,3.5,26,25,1
2024-09-15,Chicago,Houston,2,Away,6.0,45.5,235.0,-6.0,0.0,32.0,-13.5,13,19,0
2024-09-15,Houston,Chicago,2,Home,-6.0,45.5,-290.0,6.0,0.0,32.0,-13.5,19,13,1
2024-09-16,Atlanta,Philadelphia,2,Away,5.5,46.5,210.0,1.0,6.5,43.0,-3.5,22,21,1
2024-09-16,Philadelphia,Atlanta,2,Home,-5.5,46.5,-260.0,-1.0,-6.5,43.0,-3.5,21,22,0
2024-09-19,New England,NY Jets,3,Away,6.5,39.0,250.0,-21.0,-14.5,27.0,-12.0,3,24,0
2024-09-19,NY Jets,New England,3,Home,-6.5,39.0,-300.0,21.0,14.5,27.0,-12.0,24,3,1
2024-09-22,NY Giants,Cleveland,3,Away,6.5,38.5,240.0,6.0,12.5,36.0,-2.5,21,15,1
2024-09-22,Cleveland,NY Giants,3,Home,-6.5,38.5,-285.0,-6.0,-12.5,36.0,-2.5,15,21,0
2024-09-22,Chicago,Indianapolis,3,Away,2.0,43.5,115.0,-5.0,-3.0,37.0,-6.5,16,21,0
2024-09-22,Indianapolis,Chicago,3,Home,-2.0,43.5,-135.0,5.0,3.0,37.0,-6.5,21,16,1
2024-09-22,Houston,Minnesota,3,Away,-1.5,47.0,-127.0,-27.0,-28.5,41.0,-6.0,7,34,0
2024-09-22,Minnesota,Houston,3,Home,1.5,47.0,107.0,27.0,28.5,41.0,-6.0,34,7,1
2024-09-22,Philadelphia,New Orleans,3,Away,2.5,49.5,120.0,3.0,5.5,27.0,-22.5,15,12,1
2024-09-22,New Orleans,Philadelphia,3,Home,-2.5,49.5,-140.0,-3.0,-5.5,27.0,-22.5,12,15,0
2024-09-22,LA Chargers,Pittsburgh,3,Away,2.5,36.0,127.0,-10.0,-7.5,30.0,-6.0,10,20,0
2024-09-22,Pittsburgh,LA Chargers,3,Home,-2.5,36.0,-141.0,10.0,7.5,30.0,-6.0,20,10,1
2024-09-22,Denver,Tampa Bay,3,Away,6.0,40.5,218.0,19.0,25.0,33.0,-7.5,26,7,1
2024-09-22,Tampa Bay,Denver,3,Home,-6.0,40.5,-258.0,-19.0,-25.0,33.0,-7.5,7,26,0
2024-09-22,Green Bay,Tennessee,3,Away,3.0,37.0,135.0,16.0,19.0,44.0,7.0,30,14,1
2024-09-22,Tennessee,Green Bay,3,Home,-3.0,37.0,-160.0,-16.0,-19.0,44.0,7.0,14,30,0
2024-09-22,Carolina,Las Vegas,3,Away,6.0,40.0,207.0,14.0,20.0,58.0,18.0,36,22,1
2024-09-22,Las Vegas,Carolina,3,Home,-6.0,40.0,-247.0,-14.0,-20.0,58.0,18.0,22,36,0
2024-09-22,Miami,Seattle,3,Away,4.0,41.5,172.0,-21.0,-17.0,27.0,-14.5,3,24,0
2024-09-22,Seattle,Miami,3,Home,-4.0,41.5,-197.0,21.0,17.0,27.0,-14.5,24,3,1
2024-09-22,Detroit,Arizona,3,Away,-3.0,51.5,-151.0,7.0,4.0,33.0,-18.5,20,13,1
2024-09-22,Arizona,Detroit,3,Home,3.0,51.5,131.0,-7.0,-4.0,33.0,-18.5,13,20,0
2024-09-22,Baltimore,Dallas,3,Away,-1.0,47.5,-116.0,3.0,2.0,53.0,5.5,28,25,1
2024-09-22,Dallas,Baltimore,3,Home,1.0,47.5,-104.0,-3.0,-2.0,53.0,5.5,25,28,0
2024-09-22,San Francisco,LA Rams,3,Away,-6.0,44.5,-265.0,-3.0,-9.0,51.0,6.5,24,27,0
2024-09-22,LA Rams,San Francisco,3,Home,6.0,44.5,225.0,3.0,9.0,51.0,6.5,27,24,1
2024-09-22,Kansas City,Atlanta,3,Away,-3.0,46.5,-165.0,5.0,2.0,39.0,-7.5,22,17,1
2024-09-22,Atlanta,Kansas City,3,Home,3.0,46.5,145.0,-5.0,-2.0,39.0,-7.5,17,22,0
2024-09-23,Jacksonville,Buffalo,3,Away,4.5,46.5,180.0,-37.0,-32.5,57.0,10.5,10,47,0
2024-09-23,Buffalo,Jacksonville,3,Home,-4.5,46.5,-210.0,37.0,32.5,57.0,10.5,47,10,1
2024-09-23,Washington,Cincinnati,3,Away,7.5,45.5,300.0,5.0,12.5,71.0,25.5,38,33,1
2024-09-23,Cincinnati,Washington,3,Home,-7.5,45.5,-370.0,-5.0,-12.5,71.0,25.5,33,38,0
2024-09-26,Dallas,NY Giants,4,Away,-5.5,45.0,-255.0,5.0,-0.5,35.0,-10.0,20,15,1
