Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2014-09-04,Green Bay,Seattle,1,Away,4.5,47.0,195.0,-20.0,-15.5,52.0,5.0,16,36,0
2014-09-04,Seattle,Green Bay,1,Home,-4.5,47.0,-218.0,20.0,15.5,52.0,5.0,36,16,1
2014-09-07,New Orleans,Atlanta,1,Away,-3.0,51.0,-160.0,-3.0,-6.0,71.0,20.0,34,37,0
2014-09-07,Atlanta,New Orleans,1,Home,3.0,51.0,140.0,3.0,6.0,71.0,20.0,37,34,1
2014-09-07,Minnesota,St Louis,1,Away,3.0,43.5,125.0,28.0,31.0,40.0,-3.5,34,6,1
2014-09-07,St Louis,Minnesota,1,Home,-3.0,43.5,-145.0,-28.0,-31.0,40.0,-3.5,6,34,0
2014-09-07,Cleveland,Pittsburgh,1,Away,6.0,41.5,210.0,-3.0,3.0,57.0,15.5,27,30,0
2014-09-07,Pittsburgh,Cleveland,1,Home,-6.0,41.5,-250.0,3.0,-3.0,57.0,15.5,30,27,1
2014-09-07,Jacksonville,Philadelphia,1,Away,10.0,49.0,430.0,-17.0,-7.0,51.0,2.0,17,34,0
2014-09-07,Philadelphia,Jacksonville,1,Home,-10.0,49.0,-550.0,17.0,7.0,51.0,2.0,34,17,1
2014-09-07,Oakland,NY Jets,1,Away,6.5,41.0,250.0,-5.0,1.5,33.0,-8.0,14,19,0
2014-09-07,NY Jets,Oakland,1,Home,-6.5,41.0,-300.0,5.0,-1.5,33.0,-8.0,19,14,1
2014-09-07,Cincinnati,Baltimore,1,Away,1.0,43.5,100.0,7.0,8.0,39.0,-4.5,23,16,1
2014-09-07,Baltimore,Cincinnati,1,Home,-1.0,43.5,-110.0,-7.0,-8.0,39.0,-4.5,16,23,0
2014-09-07,Buffalo,Chicago,1,Away,7.0,47.0,235.0,3.0,10.0,43.0,-4.0,23,20,1
2014-09-07,Chicago,Buffalo,1,Home,-7.0,47.0,-275.0,-3.0,-10.0,43.0,-4.0,20,23,0
2014-09-07,Washington,Houston,1,Away,3.0,43.5,145.0,-11.0,-8.0,23.0,-20.5,6,17,0
2014-09-07,Houston,Washington,1,Home,-3.0,43.5,-170.0,11.0,8.0,23.0,-20.5,17,6,1
2014-09-07,Tennessee,Kansas City,1,Away,3.0,44.5,145.0,16.0,19.0,36.0,-8.5,26,10,1
2014-09-07,Kansas City,Tennessee,1,Home,-3.0,44.5,-165.0,-16.0,-19.0,36.0,-8.5,10,26,0
2014-09-07,New England,Miami,1,Away,-3.5,46.5,-180.0,-13.0,-16.5,53.0,6.5,20,33,0
2014-09-07,Miami,New England,1,Home,3.5,46.5,160.0,13.0,16.5,53.0,6.5,33,20,1
2014-09-07,Carolina,Tampa Bay,1,Away,4.5,38.5,200.0,6.0,10.5,34.0,-4.5,20,14,1
2014-09-07,Tampa Bay,Carolina,1,Home,-4.5,38.5,-240.0,-6.0,-10.5,34.0,-4.5,14,20,0
2014-09-07,San Francisco,Dallas,1,Away,-3.5,49.0,-171.0,11.0,7.5,45.0,-4.0,28,17,1
2014-09-07,Dallas,San Francisco,1,Home,3.5,49.0,146.0,-11.0,-7.5,45.0,-4.0,17,28,0
2014-09-07,Indianapolis,Denver,1,Away,8.0,53.5,335.0,-7.0,1.0,55.0,1.5,24,31,0
2014-09-07,Denver,Indianapolis,1,Home,-8.0,53.5,-405.0,7.0,-1.0,55.0,1.5,31,24,1
2014-09-08,NY Giants,Detroit,1,Away,6.0,46.0,215.0,-21.0,-15.0,49.0,3.0,14,35,0
2014-09-08,Detroit,NY Giants,1,Home,-6.0,46.0,-265.0,21.0,15.0,49.0,3.0,35,14,1
2014-09-08,San Diego,Arizona,1,Away,3.0,45.5,130.0,-1.0,2.0,35.0,-10.5,17,18,0
2014-09-08,Arizona,San Diego,1,Home,-3.0,45.5,-150.0,1.0,-2.0,35.0,-10.5,18,17,1
2014-09-11,Pittsburgh,Baltimore,2,Away,2.5,44.0,125.0,-20.0,-17.5,32.0,-12.0,6,26,0
2014-09-11,Baltimore,Pittsburgh,2,Home,-2.5,44.0,-145.0,20.0,17.5,32.0,-12.0,26,6,1
2014-09-14,Miami,Buffalo,2,Away,1.0,43.0,106.0,-19.0,-18.0,39.0,-4.0,10,29,0
2014-09-14,Buffalo,Miami,2,Home,-1.0,43.0,-117.0,19.0,18.0,39.0,-4.0,29,10,1
2014-09-14,Jacksonville,Washington,2,Away,5.0,43.0,200.0,-31.0,-26.0,51.0,8.0,10,41,0
2014-09-14,Washington,Jacksonville,2,Home,-5.0,43.0,-240.0,31.0,26.0,51.0,8.0,41,10,1
2014-09-14,Dallas,Tennessee,2,Away,3.0,49.0,155.0,16.0,19.0,36.0,-13.0,26,10,1
2014-09-14,Tennessee,Dallas,2,Home,-3.0,49.0,-175.0,-16.0,-19.0,36.0,-13.0,10,26,0
2014-09-14,Arizona,NY Giants,2,Away,2.0,41.5,110.0,11.0,13.0,39.0,-2.5,25,14,1
2014-09-14,NY Giants,Arizona,2,Home,-2.0,41.5,-130.0,-11.0,-13.0,39.0,-2.5,14,25,0
2014-09-14,New England,Minnesota,2,Away,-3.5,49.0,-175.0,23.0,19.5,37.0,-12.0,30,7,1
2014-09-14,Minnesota,New England,2,Home,3.5,49.0,155.0,-23.0,-19.5,37.0,-12.0,7,30,0
2014-09-14,New Orleans,Cleveland,2,Away,-5.0,49.5,-240.0,-2.0,-7.0,50.0,0.5,24,26,0
2014-09-14,Cleveland,New Orleans,2,Home,5.0,49.5,200.0,2.0,7.0,50.0,0.5,26,24,1
2014-09-14,Atlanta,Cincinnati,2,Away,5.5,49.0,205.0,-14.0,-8.5,34.0,-15.0,10,24,0
2014-09-14,Cincinnati,Atlanta,2,Home,-5.5,49.0,-245.0,14.0,8.5,34.0,-15.0,24,10,1
2014-09-14,Detroit,Carolina,2,Away,1.5,43.5,105.0,-17.0,-15.5,31.0,-12.5,7,24,0
2014-09-14,Carolina,Detroit,2,Home,-1.5,43.5,-125.0,17.0,15.5,31.0,-12.5,24,7,1
