week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,NY Giants,Minnesota,Arizona,Kansas City,Denver,Tennessee,Carolina,New England,-3.956127620830449
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Kansas City,Denver,Tennessee,New England,NY Giants,-3.9610107132182266
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Tampa Bay,Minnesota,Arizona,Kansas City,Denver,Tennessee,Carolina,New England,-3.9714501488340654
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Kansas City,Denver,New Orleans,Tennessee,New England,-3.9769816356231376
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Kansas City,Denver,Tennessee,Baltimore,New England,-3.988209482753409
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Tennessee,Denver,New Orleans,Kansas City,New England,-3.989366874617782
Atlanta,Oakland,Pittsburgh,Green Bay,Cincinnati,Baltimore,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Kansas City,Denver,Tennessee,New England,NY Giants,-3.989644412202592
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,New Orleans,Arizona,Kansas City,Denver,Tennessee,New England,Minnesota,-3.9897868178572784
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,Minnesota,New England,Arizona,Denver,Tennessee,Kansas City,NY Giants,-3.996733978437045
Atlanta,Oakland,Pittsburgh,Green Bay,Cincinnati,New England,Dallas,Philadelphia,Seattle,Tampa Bay,Minnesota,Arizona,Kansas City,Denver,Tennessee,Carolina,NY Giants,-3.9987367570682757
Buffalo,Oakland,Pittsburgh,Green Bay,Cincinnati,Atlanta,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Kansas City,Denver,New Orleans,New England,NY Giants,-4.001123179049026
Atlanta,Oakland,Pittsburgh,Green Bay,Cincinnati,New England,Dallas,Philadelphia,Seattle,Carolina,Minnesota,Arizona,Kansas City,Denver,New Orleans,Tennessee,NY Giants,-4.004268243857347
