week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,Arizona,New England,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Denver,-3.995527490587376
Philadelphia,Green Bay,New Orleans,San Diego,San Francisco,Denver,Arizona,New England,Seattle,Cincinnati,Miami,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Houston,-4.005057702199729
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,Pittsburgh,New England,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Denver,-4.01273860023009
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,Denver,Arizona,New England,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Miami,-4.016583185245231
Philadelphia,Green Bay,New Orleans,San Diego,Detroit,Denver,Arizona,New England,Seattle,Cincinnati,Miami,Indianapolis,NY Giants,San Francisco,Baltimore,Carolina,Houston,-4.018125681683134
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,New England,Arizona,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Denver,-4.022522845168972
Philadelphia,Green Bay,New Orleans,Indianapolis,Detroit,Denver,New England,Miami,Seattle,Cincinnati,San Diego,San Francisco,NY Giants,Arizona,Baltimore,Carolina,Houston,-4.026661975873641
Philadelphia,Green Bay,New Orleans,Houston,Detroit,Denver,Arizona,New England,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,San Francisco,Baltimore,Carolina,Miami,-4.029651164728636
Philadelphia,San Francisco,New Orleans,Houston,Green Bay,Arizona,New England,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Denver,-4.039340790871817
Philadelphia,Green Bay,New Orleans,Indianapolis,San Francisco,Denver,Arizona,New England,Seattle,Cincinnati,San Diego,Atlanta,NY Giants,Detroit,Baltimore,Carolina,Houston,-4.04176162235089
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,Pittsburgh,New England,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Arizona,Baltimore,Carolina,Denver,-4.042415866436981
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,Detroit,New England,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Arizona,Baltimore,Carolina,Denver,-4.042616917714918
Philadelphia,Green Bay,New Orleans,Houston,San Francisco,Baltimore,New England,Miami,Seattle,Cincinnati,San Diego,Indianapolis,NY Giants,Arizona,Detroit,Carolina,Denver,-4.046027093885216
Philadelphia,New Orleans,Cincinnati,Houston,San Francisco,Arizona,New England,Miami,Seattle,Green Bay,San Diego,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Denver,-4.048713006705976
Philadelphia,San Francisco,New Orleans,San Diego,Green Bay,Denver,Arizona,New England,Seattle,Cincinnati,Miami,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Houston,-4.04887100248417
Philadelphia,Green Bay,New Orleans,Indianapolis,Detroit,Denver,Arizona,New England,Seattle,Cincinnati,San Diego,Atlanta,NY Giants,San Francisco,Baltimore,Carolina,Houston,-4.054829601834296
Philadelphia,New Orleans,Cincinnati,San Diego,San Francisco,Denver,Arizona,New England,Seattle,Green Bay,Miami,Indianapolis,NY Giants,Detroit,Baltimore,Carolina,Houston,-4.058243218318329
