week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Indianapolis,Detroit,Seattle,Pittsburgh,St Louis,Denver,Green Bay,San Francisco,Baltimore,NY Giants,New England,Houston,Dallas,New Orleans,Kansas City,San Diego,Atlanta,-3.982046985609582
Indianapolis,Houston,Seattle,Pittsburgh,Kansas City,Denver,Green Bay,San Francisco,Dallas,NY Giants,New England,Baltimore,Philadelphia,New Orleans,Atlanta,San Diego,Detroit,-3.994320692529588
Indianapolis,Detroit,Seattle,Pittsburgh,Baltimore,Denver,Green Bay,San Francisco,Dallas,NY Giants,New England,Houston,Philadelphia,New Orleans,Kansas City,San Diego,Atlanta,-3.99502226971389
Indianapolis,Houston,Seattle,Pittsburgh,Kansas City,Denver,Green Bay,Tampa Bay,Dallas,San Francisco,New England,Baltimore,Philadelphia,New Orleans,Atlanta,San Diego,NY Giants,-3.9968496513662153
Indianapolis,Houston,Seattle,Pittsburgh,Kansas City,Denver,Green Bay,Tampa Bay,Baltimore,San Francisco,New England,Detroit,Dallas,New Orleans,Atlanta,San Diego,NY Giants,-3.9971616019770435
Indianapolis,Houston,Seattle,Pittsburgh,Kansas City,Denver,Green Bay,San Francisco,St Louis,NY Giants,New England,Baltimore,Dallas,New Orleans,Atlanta,San Diego,Detroit,-3.9978211674542146
Indianapolis,Detroit,Seattle,Pittsburgh,Baltimore,Denver,Green Bay,San Francisco,St Louis,NY Giants,New England,Houston,Dallas,New Orleans,Kansas City,San Diego,Atlanta,-3.9985227446385165
Indianapolis,Houston,Seattle,Pittsburgh,Kansas City,Denver,Green Bay,Tampa Bay,Dallas,NY Giants,New England,Baltimore,San Francisco,New Orleans,Atlanta,San Diego,Detroit,-4.001454123717514
Indianapolis,Detroit,Seattle,Pittsburgh,Baltimore,Denver,Green Bay,Tampa Bay,Dallas,NY Giants,New England,Houston,San Francisco,New Orleans,Kansas City,San Diego,Atlanta,-4.002155700901816
Indianapolis,Houston,Seattle,Pittsburgh,Kansas City,Denver,Green Bay,San Francisco,Baltimore,NY Giants,New England,Miami,Dallas,New Orleans,Atlanta,San Diego,Detroit,-4.0065418755291855
Indianapolis,Houston,Seattle,Detroit,Kansas City,Denver,Green Bay,San Francisco,Dallas,NY Giants,New England,Baltimore,Philadelphia,New Orleans,Atlanta,San Diego,Pittsburgh,-4.007141930800687
Indianapolis,Detroit,Seattle,Pittsburgh,St Louis,Denver,Green Bay,San Francisco,Houston,NY Giants,New England,Baltimore,Dallas,New Orleans,Kansas City,San Diego,Atlanta,-4.008050415287982
