week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8057340848590564
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8308271367292375
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,New England,Tampa Bay,Buffalo,-3.8373862218705255
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8440728636809296
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Tampa Bay,Buffalo,-3.8493410067113336
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Tampa Bay,New England,-3.853450064686552
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Indianapolis,-3.8554322255076614
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8559194728632447
Indianapolis,Tampa Bay,Philadelphia,Seattle,San Francisco,New England,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Tennessee,LA Rams,Baltimore,Buffalo,-3.8561971608465497
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Tampa Bay,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Cleveland,New England,-3.8580354983611937
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8587473087224833
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Tampa Bay,Buffalo,-3.859777721383219
Buffalo,Tampa Bay,Philadelphia,Seattle,San Francisco,Indianapolis,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Tennessee,LA Rams,Baltimore,New England,-3.8603062188217683
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,Tampa Bay,Dallas,Minnesota,Seattle,LA Rams,LA Chargers,New England,-3.8611369847704773
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,New England,Tampa Bay,Buffalo,-3.8624792737407065
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.862856366697702
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.864621895219959
Indianapolis,Tennessee,Philadelphia,Tampa Bay,San Francisco,New England,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Seattle,LA Rams,Baltimore,Buffalo,-3.8653667939523033
New England,Tampa Bay,Philadelphia,Seattle,San Francisco,Indianapolis,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Tennessee,LA Rams,Baltimore,Buffalo,-3.8666338755184353
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8687309531951777
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8691659155511107
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.869184023394369
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Tampa Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.8733163868698193
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Atlanta,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Tampa Bay,Buffalo,-3.8744340585815147
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8750586098918447
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.8750907631880396
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,New England,Tampa Bay,Buffalo,-3.8757250006923987
New England,Tennessee,Philadelphia,Tampa Bay,San Francisco,Indianapolis,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Seattle,LA Rams,Baltimore,Buffalo,-3.875803508624189
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Seattle,LA Rams,Tampa Bay,Buffalo,-3.87628569712291
Pittsburgh,Tampa Bay,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Tennessee,LA Rams,Cleveland,New England,-3.876513243167152
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,New England,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8765970126099196
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Tampa Bay,New England,-3.8785431165567332
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Seattle,LA Rams,Tampa Bay,New England,-3.8803947550981275
Pittsburgh,Tampa Bay,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Tennessee,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.8804769253817315
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Indianapolis,-3.8805252773778425
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8810125247334257
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Tampa Bay,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Cleveland,New England,-3.883128550231375
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8838403605926644
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Tampa Bay,Buffalo,-3.8848707732534002
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,Tampa Bay,Dallas,Minnesota,Seattle,LA Rams,LA Chargers,New England,-3.8862300366406584
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Minnesota,Green Bay,LA Chargers,Dallas,Pittsburgh,Seattle,LA Rams,Tampa Bay,Buffalo,-3.8867224117947945
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Tampa Bay,Kansas City,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.887864427382065
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.887949418567883
Pittsburgh,Tampa Bay,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.8881232340260845
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Atlanta,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.88971494709014
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,Buffalo,Tampa Bay,New England,-3.891009561207863
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Green Bay,Pittsburgh,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.891564700266586
Pittsburgh,Tennessee,Cleveland,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8918725063726467
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,Tampa Bay,Dallas,Minnesota,Seattle,New England,LA Chargers,Buffalo,-3.8927891217819464
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8938240050653588
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.894258251685118
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.89427707526455
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,Indianapolis,Tampa Bay,Buffalo,-3.894732455010506
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,New England,New Orleans,Kansas City,Arizona,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.895667063798303
Buffalo,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Arizona,Green Bay,Pittsburgh,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,New England,-3.8956737582418044
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Arizona,Tampa Bay,LA Chargers,Dallas,Minnesota,Seattle,Green Bay,Cleveland,New England,-3.896374277183067
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Tampa Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.8984094387400003
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Arizona,Green Bay,Tampa Bay,Dallas,Minnesota,Seattle,LA Rams,LA Chargers,New England,-3.8994757635923505
New England,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Pittsburgh,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Tampa Bay,Buffalo,-3.9001516617620258
Pittsburgh,Tennessee,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,LA Rams,Cleveland,New England,-3.9001838150582206
Indianapolis,Tennessee,Philadelphia,Baltimore,San Francisco,Pittsburgh,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Seattle,New England,Tampa Bay,Buffalo,-3.9008180525625797
Pittsburgh,Tampa Bay,Philadelphia,Baltimore,San Francisco,Indianapolis,New Orleans,Kansas City,Atlanta,Green Bay,LA Chargers,Dallas,Minnesota,Tennessee,LA Rams,Cleveland,New England,-3.901606295037333
