week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Denver,Kansas City,Baltimore,Detroit,Dallas,Arizona,Minnesota,Buffalo,San Diego,Indianapolis,-4.2329913717069045
Seattle,Carolina,Oakland,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Arizona,Pittsburgh,Buffalo,Denver,Minnesota,Kansas City,Los Angeles,Indianapolis,-4.233007768248399
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Denver,NY Giants,Baltimore,Indianapolis,Green Bay,Arizona,Detroit,Kansas City,San Diego,Minnesota,-4.233062341916808
Seattle,Arizona,Oakland,Houston,New England,Buffalo,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,Dallas,Denver,Minnesota,Carolina,San Diego,Indianapolis,-4.233190453857406
Seattle,Carolina,NY Giants,Houston,New England,Arizona,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,Miami,Denver,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.2333149510833294
Seattle,Carolina,NY Giants,Houston,New England,Green Bay,Cincinnati,Oakland,Kansas City,Baltimore,Pittsburgh,Buffalo,Denver,Minnesota,Arizona,San Diego,Indianapolis,-4.233354630965784
Seattle,Arizona,Oakland,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Carolina,Green Bay,Pittsburgh,Minnesota,Kansas City,Los Angeles,Indianapolis,-4.233450333598776
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Cincinnati,Green Bay,NY Giants,Baltimore,Indianapolis,Miami,Pittsburgh,Denver,Kansas City,Los Angeles,Minnesota,-4.233568803088497
Seattle,Carolina,Pittsburgh,Houston,Arizona,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Buffalo,Denver,Minnesota,Kansas City,San Diego,New England,-4.2335953370617885
Seattle,Carolina,Oakland,Houston,New England,Buffalo,Cincinnati,Denver,Kansas City,Baltimore,Pittsburgh,Miami,Arizona,Minnesota,Green Bay,Los Angeles,Indianapolis,-4.233621098154858
Seattle,Carolina,Oakland,Houston,New England,Pittsburgh,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Arizona,Denver,Buffalo,Los Angeles,Minnesota,-4.233628196337052
Seattle,Arizona,Pittsburgh,Houston,Carolina,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Green Bay,Denver,Minnesota,Kansas City,San Diego,New England,-4.233744980069585
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Green Bay,Arizona,Detroit,Kansas City,San Diego,Minnesota,-4.23391771584736
Arizona,Carolina,Seattle,Houston,New England,Green Bay,Cincinnati,Oakland,Kansas City,Baltimore,Pittsburgh,Miami,Denver,Minnesota,Buffalo,San Diego,Indianapolis,-4.234002445593242
Arizona,Carolina,Seattle,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Pittsburgh,Detroit,Green Bay,Denver,Minnesota,Baltimore,Los Angeles,Indianapolis,-4.2341509249710025
Arizona,Carolina,Oakland,Houston,New England,Seattle,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,NY Giants,Denver,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.234226481595894
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Detroit,Green Bay,Denver,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.234265078381322
Arizona,Carolina,Oakland,Houston,New England,Seattle,Green Bay,Dallas,NY Giants,Baltimore,Indianapolis,Buffalo,Cincinnati,Denver,Kansas City,San Diego,Minnesota,-4.234409649855712
Seattle,Carolina,NY Giants,Houston,New England,Arizona,Cincinnati,Green Bay,Kansas City,Baltimore,Pittsburgh,Dallas,Denver,Minnesota,Buffalo,Los Angeles,Indianapolis,-4.234421643975403
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,NY Giants,Arizona,Denver,Buffalo,Los Angeles,Minnesota,-4.234445087224305
