week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
San Francisco,LA Rams,Cincinnati,Philadelphia,Tampa Bay,Indianapolis,Las Vegas,Dallas,LA Chargers,Kansas City,New England,Miami,Green Bay,Buffalo,Denver,Baltimore,Washington,Tennessee,-4.5022346034845295
San Francisco,Denver,LA Rams,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,LA Chargers,Kansas City,New England,Indianapolis,Minnesota,Buffalo,New Orleans,Baltimore,Washington,Miami,-4.502249095129047
Indianapolis,LA Rams,Cincinnati,Philadelphia,Tampa Bay,San Francisco,Denver,Dallas,LA Chargers,Kansas City,Green Bay,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.502268259976638
San Francisco,LA Rams,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Denver,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Detroit,Tennessee,-4.502317235666312
Indianapolis,Denver,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Dallas,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,Carolina,Baltimore,Seattle,LA Rams,-4.502344362320024
Indianapolis,Denver,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Kansas City,LA Rams,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Washington,Tennessee,-4.502358097242575
Indianapolis,Green Bay,Cincinnati,Philadelphia,Tampa Bay,San Francisco,Las Vegas,Dallas,LA Chargers,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,LA Rams,-4.502413897482354
San Francisco,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Tennessee,Buffalo,Kansas City,Denver,Indianapolis,Minnesota,Dallas,New Orleans,Baltimore,Seattle,Miami,-4.502414414633897
Indianapolis,San Francisco,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Miami,LA Rams,Dallas,Denver,Baltimore,Washington,Minnesota,-4.502434097947461
New Orleans,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,Denver,San Francisco,Indianapolis,Tennessee,-4.502469508577394
