week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Dallas,Pittsburgh,Seattle,Indianapolis,Denver,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,NY Jets,Minnesota,Philadelphia,Kansas City,-3.971332214549538
Dallas,Pittsburgh,Seattle,Indianapolis,Kansas City,Miami,San Diego,St Louis,New England,Baltimore,Carolina,Green Bay,Cincinnati,Denver,Minnesota,Philadelphia,Houston,-3.973761449272647
Dallas,Pittsburgh,Seattle,Indianapolis,Philadelphia,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-3.978329404872671
Green Bay,Pittsburgh,New England,Indianapolis,Kansas City,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Arizona,Dallas,Denver,Minnesota,Philadelphia,Carolina,-3.9888800113854854
Dallas,Arizona,Seattle,Indianapolis,Denver,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,NY Jets,Minnesota,Philadelphia,Kansas City,-3.990832617575306
Dallas,Arizona,Seattle,Indianapolis,Philadelphia,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-3.997829807898439
Carolina,Pittsburgh,New England,Indianapolis,Denver,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Green Bay,Dallas,NY Jets,Minnesota,Philadelphia,Kansas City,-3.9993826899204463
Dallas,Miami,Seattle,Indianapolis,Philadelphia,NY Jets,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-4.002388825123583
Green Bay,Miami,New England,Indianapolis,Kansas City,NY Jets,San Diego,Houston,Cincinnati,Baltimore,Seattle,Arizona,Dallas,Denver,Minnesota,Philadelphia,Carolina,-4.012939431636397
Green Bay,Pittsburgh,New England,Indianapolis,Denver,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Arizona,Dallas,NY Jets,Minnesota,Philadelphia,Kansas City,-4.0130237592700215
Carolina,Pittsburgh,New England,Indianapolis,Denver,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Green Bay,Kansas City,NY Jets,Minnesota,Philadelphia,Dallas,-4.013806637005534
Dallas,Arizona,New England,Indianapolis,Denver,Miami,San Diego,Houston,Pittsburgh,Baltimore,Seattle,Green Bay,Cincinnati,NY Jets,Minnesota,Philadelphia,Kansas City,-4.01755564452864
Dallas,St Louis,Seattle,Indianapolis,Denver,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,NY Jets,Minnesota,Philadelphia,Kansas City,-4.018125919491163
Carolina,Arizona,New England,Indianapolis,Denver,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Green Bay,Dallas,NY Jets,Minnesota,Philadelphia,Kansas City,-4.018883092946215
Green Bay,Pittsburgh,New England,Indianapolis,Philadelphia,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Arizona,Dallas,Denver,Minnesota,New Orleans,Kansas City,-4.020020949593154
Dallas,Pittsburgh,New England,Indianapolis,Philadelphia,Miami,San Diego,Houston,NY Jets,Baltimore,Seattle,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-4.022319628396322
Cincinnati,Pittsburgh,Seattle,Indianapolis,Denver,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Dallas,NY Jets,Minnesota,Philadelphia,Kansas City,-4.022563387017672
Dallas,Pittsburgh,Seattle,Indianapolis,Denver,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,Philadelphia,Minnesota,New Orleans,Kansas City,-4.024267095044183
Dallas,Arizona,New England,Indianapolis,Philadelphia,Miami,San Diego,Houston,Pittsburgh,Baltimore,Seattle,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-4.024552834851773
Dallas,St Louis,Seattle,Indianapolis,Philadelphia,Miami,San Diego,Houston,New England,Baltimore,Carolina,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-4.025123109814296
Dallas,Pittsburgh,New England,Indianapolis,Denver,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Green Bay,Kansas City,NY Jets,Minnesota,Philadelphia,Carolina,-4.025295624919438
Dallas,Pittsburgh,Arizona,Indianapolis,Denver,Miami,San Diego,Houston,New England,Baltimore,Seattle,Green Bay,Cincinnati,NY Jets,Minnesota,Philadelphia,Kansas City,-4.02720712125081
Green Bay,Pittsburgh,New England,Indianapolis,Denver,Miami,San Diego,Houston,Cincinnati,Baltimore,Seattle,Arizona,Kansas City,NY Jets,Minnesota,Philadelphia,Dallas,-4.02744770635511
Dallas,Pittsburgh,Seattle,Indianapolis,Denver,Miami,San Diego,St Louis,New England,Baltimore,Carolina,Green Bay,Cincinnati,NY Jets,Minnesota,Philadelphia,Kansas City,-4.027528506787339
Dallas,Miami,New England,Indianapolis,Philadelphia,NY Jets,San Diego,Houston,Pittsburgh,Baltimore,Seattle,Green Bay,Cincinnati,Denver,Minnesota,New Orleans,Kansas City,-4.029111852076916
