week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Indianapolis,Pittsburgh,Tennessee,Dallas,LA Rams,Denver,Miami,LA Chargers,Seattle,Cleveland,-4.364077844359643
San Francisco,Green Bay,Denver,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Pittsburgh,Cleveland,New England,LA Rams,Tennessee,Miami,LA Chargers,Seattle,Dallas,-4.4063457172718925
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Indianapolis,Pittsburgh,Cleveland,Dallas,LA Rams,Denver,Miami,LA Chargers,Seattle,Tennessee,-4.4081795332629925
San Francisco,Green Bay,Pittsburgh,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Denver,Cleveland,New England,LA Rams,Tennessee,Miami,LA Chargers,Seattle,Dallas,-4.416903192977578
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Pittsburgh,Denver,Tennessee,Dallas,LA Rams,LA Chargers,Miami,Atlanta,Seattle,Cleveland,-4.417138302779866
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Miami,Pittsburgh,Tennessee,Dallas,LA Rams,LA Chargers,Denver,Atlanta,Seattle,Cleveland,-4.420211927466814
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Pittsburgh,Denver,Cleveland,Dallas,LA Rams,Tennessee,Miami,LA Chargers,Seattle,Washington,-4.42110217738985
San Francisco,Green Bay,Denver,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Indianapolis,Pittsburgh,Cleveland,Dallas,LA Rams,Tennessee,Miami,LA Chargers,Seattle,Baltimore,-4.421561500300052
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Indianapolis,Pittsburgh,Tennessee,Dallas,LA Rams,Denver,Miami,Atlanta,Seattle,Cleveland,-4.421753753341254
San Francisco,Green Bay,Denver,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Pittsburgh,Tennessee,New England,LA Rams,LA Chargers,Miami,Atlanta,Seattle,Cleveland,-4.421951362715453
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Pittsburgh,Denver,Tennessee,Dallas,LA Rams,New Orleans,Miami,LA Chargers,Seattle,Cleveland,-4.422757139759885
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Miami,Pittsburgh,Cleveland,Dallas,LA Rams,Tennessee,Denver,LA Chargers,Seattle,Washington,-4.424175802076796
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Miami,Pittsburgh,Tennessee,Dallas,LA Rams,New Orleans,Denver,LA Chargers,Seattle,Cleveland,-4.425830764446833
San Francisco,Green Bay,Denver,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Pittsburgh,Cleveland,New England,LA Rams,Tennessee,Miami,LA Chargers,Seattle,Washington,-4.4259152373254365
San Francisco,Green Bay,Denver,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Pittsburgh,Tennessee,New England,LA Rams,New Orleans,Miami,LA Chargers,Seattle,Cleveland,-4.427570199695473
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Pittsburgh,Denver,Tennessee,Dallas,LA Rams,LA Chargers,Miami,Seattle,Washington,Cleveland,-4.42786741135548
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Miami,Pittsburgh,Tennessee,Dallas,LA Rams,LA Chargers,Denver,Seattle,Washington,Cleveland,-4.4309410360424275
San Francisco,Green Bay,Baltimore,Buffalo,Minnesota,Tampa Bay,New England,Kansas City,Indianapolis,Pittsburgh,Tennessee,Dallas,LA Rams,Denver,Miami,Seattle,Washington,Cleveland,-4.432482861916868
San Francisco,Green Bay,Pittsburgh,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Denver,Tennessee,New England,LA Rams,LA Chargers,Miami,Atlanta,Seattle,Cleveland,-4.43250883842114
San Francisco,Green Bay,Denver,Buffalo,Minnesota,Tampa Bay,Baltimore,Kansas City,Indianapolis,Pittsburgh,Tennessee,New England,LA Rams,LA Chargers,Miami,Seattle,Washington,Cleveland,-4.432680471291068
