week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
Seattle,LA Chargers,Cleveland,San Francisco,Kansas City,Houston,Buffalo,Detroit,Cincinnati,Chicago,NY Jets,Miami,Dallas,Philadelphia,Baltimore,Green Bay,Tampa Bay,Atlanta,-4.0285042839522465
Seattle,LA Chargers,Cincinnati,San Francisco,Kansas City,Houston,Buffalo,Detroit,Baltimore,Chicago,NY Jets,Miami,Cleveland,Philadelphia,Dallas,Green Bay,Tampa Bay,Atlanta,-4.0306372479352115
Seattle,LA Chargers,Detroit,San Francisco,Kansas City,Houston,Buffalo,Pittsburgh,Baltimore,Chicago,NY Jets,Miami,Cleveland,Philadelphia,Dallas,Green Bay,Cincinnati,Atlanta,-4.037425698665284
Seattle,LA Chargers,Cleveland,San Francisco,Kansas City,Houston,LA Rams,Detroit,Baltimore,Chicago,NY Jets,Miami,Dallas,Philadelphia,Green Bay,Buffalo,Cincinnati,Atlanta,-4.040036301707351
Seattle,LA Chargers,Cleveland,Cincinnati,San Francisco,Houston,Buffalo,Detroit,Baltimore,Chicago,NY Jets,Miami,Kansas City,Philadelphia,Dallas,Green Bay,Tampa Bay,Atlanta,-4.044756375404164
Seattle,LA Chargers,Cleveland,San Francisco,Chicago,Houston,Buffalo,Detroit,Cincinnati,Kansas City,NY Jets,Miami,Dallas,Philadelphia,Baltimore,Green Bay,Tampa Bay,Atlanta,-4.045590136219219
Seattle,LA Chargers,Cincinnati,San Francisco,Chicago,Houston,Buffalo,Detroit,Baltimore,Kansas City,NY Jets,Miami,Cleveland,Philadelphia,Dallas,Green Bay,Tampa Bay,Atlanta,-4.047723100202184
Seattle,Baltimore,Green Bay,San Francisco,Kansas City,Houston,LA Rams,Detroit,Cincinnati,Chicago,NY Jets,Miami,Cleveland,Philadelphia,Dallas,Buffalo,LA Chargers,Atlanta,-4.050627158951341
Seattle,Baltimore,Green Bay,San Francisco,Kansas City,Houston,Buffalo,Detroit,Cincinnati,Chicago,NY Jets,Miami,Cleveland,Philadelphia,Dallas,LA Chargers,Tampa Bay,Atlanta,-4.052295370006865
Seattle,Detroit,Green Bay,San Francisco,Kansas City,Houston,Buffalo,Pittsburgh,Baltimore,Chicago,NY Jets,Miami,Cleveland,Philadelphia,Dallas,LA Chargers,Cincinnati,Atlanta,-4.053618489890745
